,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.3474576271186441,0.5,0.5,0.17372881355932204,0.5,0.2578616352201258,118.0,0.12072680264291871,0.3474576271186441,0.17919198379703655,118.0,0.0,0.0,0.0,77.0,0.3474576271186441,1.0,0.5157232704402516,41.0
1,2,0.27586206896551724,0.5,0.5,0.13793103448275862,0.5,0.21621621621621617,87.0,0.07609988109393578,0.27586206896551724,0.11929170549860205,87.0,0.0,0.0,0.0,63.0,0.27586206896551724,1.0,0.43243243243243235,24.0
2,3,0.4117647058823529,0.5,0.5,0.20588235294117646,0.5,0.2916666666666667,153.0,0.1695501730103806,0.4117647058823529,0.24019607843137253,153.0,0.0,0.0,0.0,90.0,0.4117647058823529,1.0,0.5833333333333334,63.0
3,7,0.4621212121212121,0.5,0.5,0.23106060606060605,0.5,0.31606217616580307,132.0,0.21355601469237834,0.4621212121212121,0.292118071910818,132.0,0.0,0.0,0.0,71.0,0.4621212121212121,1.0,0.6321243523316061,61.0
4,9,0.6857142857142857,0.5,0.5,0.34285714285714286,0.5,0.4067796610169491,35.0,0.47020408163265304,0.6857142857142857,0.5578692493946732,35.0,0.6857142857142857,1.0,0.8135593220338982,24.0,0.0,0.0,0.0,11.0
5,10,0.989010989010989,0.5,0.5,0.4945054945054945,0.5,0.4972375690607735,91.0,0.9781427363844948,0.989010989010989,0.9835468399004311,91.0,0.0,0.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,90.0
6,12,0.2922077922077922,0.5,0.5,0.1461038961038961,0.5,0.2261306532663317,154.0,0.08538539382695226,0.2922077922077922,0.1321542778829211,154.0,0.0,0.0,0.0,109.0,0.2922077922077922,1.0,0.4522613065326634,45.0
7,13,0.9767441860465116,0.5,0.5,0.4883720930232558,0.5,0.49411764705882344,129.0,0.9540292049756625,0.9767441860465116,0.9652530779753763,129.0,0.9767441860465116,1.0,0.9882352941176469,126.0,0.0,0.0,0.0,3.0
8,14,0.7804878048780488,0.5,0.5,0.3902439024390244,0.5,0.43835616438356173,246.0,0.6091612135633552,0.7804878048780488,0.6842632809889744,246.0,0.7804878048780488,1.0,0.8767123287671235,192.0,0.0,0.0,0.0,54.0
9,19,0.3312883435582822,0.5,0.5,0.1656441717791411,0.5,0.24884792626728108,163.0,0.10975196657759041,0.3312883435582822,0.1648808345820022,163.0,0.0,0.0,0.0,109.0,0.3312883435582822,1.0,0.49769585253456217,54.0
10,20,0.8707482993197277,0.5,0.5,0.4353741496598639,0.5,0.46545454545454545,147.0,0.7582026007681985,0.8707482993197277,0.8105875077303647,147.0,0.8707482993197277,1.0,0.9309090909090909,128.0,0.0,0.0,0.0,19.0
11,21,0.911392405063291,0.5,0.5,0.4556962025316455,0.5,0.47682119205298007,79.0,0.8306361160070501,0.911392405063291,0.8691424260206219,79.0,0.911392405063291,1.0,0.9536423841059601,72.0,0.0,0.0,0.0,7.0
12,22,0.9060402684563759,0.5,0.5,0.45302013422818793,0.5,0.47535211267605637,149.0,0.8209089680645016,0.9060402684563759,0.8613763115606391,149.0,0.0,0.0,0.0,14.0,0.9060402684563759,1.0,0.9507042253521127,135.0
13,23,0.11956521739130435,0.5,0.5,0.059782608695652176,0.5,0.10679611650485436,92.0,0.014295841209829869,0.11956521739130435,0.025538201772899956,92.0,0.0,0.0,0.0,81.0,0.11956521739130435,1.0,0.21359223300970873,11.0
14,all,0.5971718004095953,0.5,0.5,0.29858590020479764,0.5,0.3512643058579263,126.78571428571429,0.44361792817499296,0.5971718004095953,0.491814989103338,126.78571428571429,0.30179192721584747,0.35714285714285715,0.3259327442809799,82.64285714285714,0.2953798731937479,0.6428571428571429,0.37659586743487267,44.142857142857146
15,all_std,0.31,0.0,0.0,0.15,0.0,0.13,50.19,0.37,0.31,0.36,50.19,0.42,0.5,0.46,50.25,0.32,0.5,0.35,36.7
