,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.516949152542373,0.5511878365536902,0.577906240101362,0.548242701800835,0.5511878365536902,0.5153793664384767,118.0,0.5976229763232878,0.516949152542373,0.5236376291202186,118.0,0.7101002682910968,0.43896103896103894,0.5424481163397417,77.0,0.386385135310573,0.6634146341463415,0.48831061653721175,41.0
1,2,0.5724137931034483,0.5564484126984127,0.5736441798941799,0.5459625298440485,0.5564484126984127,0.5343340947122897,87.0,0.6438538282852624,0.5724137931034483,0.5937372567767716,87.0,0.7643354263667563,0.5920634920634921,0.6668488408561337,63.0,0.32758963332134067,0.5208333333333333,0.40181934856844553,24.0
2,3,0.5679738562091503,0.517063492063492,0.5203880070546737,0.5248659263358129,0.517063492063492,0.49502319726912464,153.0,0.5378990855651938,0.5679738562091503,0.5288785218195597,153.0,0.5987204953023052,0.8055555555555556,0.686870036388257,90.0,0.45101135736932046,0.22857142857142856,0.30317635814999216,63.0
3,7,0.5174242424242423,0.5188524590163934,0.5332371276841376,0.5187874291585671,0.5188524590163934,0.5171583850317691,132.0,0.5217178206085306,0.5174242424242423,0.5179115977700693,132.0,0.5574685962980847,0.5,0.5271007931773317,71.0,0.4801062620190496,0.5377049180327869,0.5072159768862066,61.0
4,9,0.3828571428571429,0.4047348484848484,0.47556818181818183,0.41476273726273727,0.4047348484848484,0.3774870952820868,35.0,0.4777692307692307,0.3828571428571429,0.3986025367052532,35.0,0.5843956043956043,0.3458333333333333,0.43433636065215014,24.0,0.24512987012987014,0.46363636363636357,0.32063782991202344,11.0
5,10,0.5978021978021978,0.3022222222222222,0.29944444444444446,0.49096987812106974,0.3022222222222222,0.37409165632299785,91.0,0.9711492094702479,0.5978021978021978,0.7399615180015342,91.0,0.0,0.0,0.0,1.0,0.9819397562421395,0.6044444444444445,0.7481833126459957,90.0
6,12,0.2915584415584415,0.47279306829765544,0.4404383282364934,0.3873851886841967,0.47279306829765544,0.2484054101341396,154.0,0.4318773469222217,0.2915584415584415,0.173563939971551,154.0,0.49444444444444446,0.03669724770642202,0.0683181225554107,109.0,0.28032593292394903,0.9088888888888889,0.4284926977128686,45.0
7,13,0.7751937984496124,0.5595238095238095,0.4171957671957672,0.5079785200782252,0.5595238095238095,0.46840479546155284,129.0,0.9582324818490671,0.7751937984496124,0.8534425382399382,129.0,0.9801960897403275,0.7857142857142857,0.8722248671559572,126.0,0.03576095041612283,0.3333333333333333,0.06458472376714867,3.0
8,14,0.39959349593495935,0.5834201388888889,0.5809606481481481,0.5835549322507597,0.5834201388888889,0.39954876035890385,246.0,0.7672296597968682,0.39959349593495935,0.3993790613431588,246.0,0.9109750987459966,0.2557291666666667,0.3992462534177931,192.0,0.25613476575552285,0.9111111111111111,0.39985126730001463,54.0
9,19,0.5484662576687117,0.5254926945293918,0.5428814135236153,0.5232004876791303,0.5254926945293918,0.5194248549222443,163.0,0.5788928573007719,0.5484662576687117,0.5591916508933925,163.0,0.6882524194669045,0.5935779816513762,0.637279177527647,109.0,0.35814855589135597,0.45740740740740743,0.4015705323168418,54.0
10,20,0.6469387755102041,0.5283511513157895,0.521813322368421,0.5147088396576014,0.5283511513157895,0.4922843927962538,147.0,0.7856802331187492,0.6469387755102041,0.6999130784614784,147.0,0.8801473244171311,0.68828125,0.7722973908952265,128.0,0.14927035489807178,0.3684210526315789,0.21227139469728112,19.0
11,21,0.8,0.5549603174603174,0.6414682539682539,0.5335603049277325,0.5549603174603174,0.5355897299565016,79.0,0.8531138683279135,0.8,0.8238606069302185,79.0,0.9219407896756447,0.8527777777777779,0.8859497188937884,72.0,0.14517982017982017,0.2571428571428571,0.1852297410192147,7.0
12,22,0.7530201342281879,0.5724074074074074,0.590026455026455,0.5362783807720726,0.5724074074074074,0.5320540753683776,149.0,0.8493599458532254,0.753020134228188,0.7931327446009264,149.0,0.15074818906057047,0.35,0.21056050747044536,14.0,0.9218085724835747,0.7948148148148149,0.8535476432663096,135.0
13,23,0.21739130434782608,0.4652076318742986,0.5035353535353535,0.469356280916822,0.4652076318742986,0.21590344765355152,92.0,0.742060171562349,0.21739130434782608,0.2321425683491641,92.0,0.8277671086223718,0.13950617283950617,0.23724629199635663,81.0,0.11094545321127233,0.7909090909090909,0.1945606033107464,11.0
14,all,0.5419701851883213,0.5080475350240441,0.5156076944999634,0.5071152955349721,0.5080475350240441,0.44464923297916215,126.78571428571429,0.6940327654109228,0.5419701851883213,0.5598110892130882,126.78571428571429,0.6478208467733741,0.4560498073049611,0.4957661769518742,82.64285714285714,0.3664097442965702,0.5600452627431272,0.39353228900645004,44.142857142857146
15,all_std,0.17,0.08,0.09,0.05,0.08,0.11,50.19,0.18,0.17,0.21,50.19,0.29,0.28,0.28,50.25,0.28,0.23,0.21,36.7
