,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.6576271186440679,0.6219195438707634,0.6551314539119417,0.6221154890956526,0.6219195438707634,0.621975403160141,118.0,0.6572118508502868,0.6576271186440679,0.6573827606355388,118.0,0.7371535637358422,0.7389610389610389,0.7380328526628337,77.0,0.5070774144554633,0.5048780487804878,0.5059179536574482,41.0
1,2,0.5781609195402299,0.5294642857142857,0.5736111111111112,0.5251758054842217,0.5294642857142857,0.5208527862181239,87.0,0.6227881562667099,0.5781609195402299,0.5950995249095661,87.0,0.7429264341528492,0.638095238095238,0.6864801263759561,63.0,0.3074251768155943,0.4208333333333333,0.3552254460602918,24.0
2,3,0.5241830065359477,0.491984126984127,0.5366049382716049,0.4910733780205928,0.491984126984127,0.48696254115660664,153.0,0.5072117325643919,0.5241830065359477,0.5113414306574577,153.0,0.5825240537687872,0.6744444444444444,0.6251095816614295,90.0,0.3996227022723983,0.3095238095238095,0.3488155006517838,63.0
3,7,0.6045454545454546,0.5899099515123528,0.6071346109443547,0.60636843489495,0.5899099515123528,0.5807205468449911,132.0,0.6060241470258299,0.6045454545454546,0.5882836680853755,132.0,0.6018238350225648,0.7830985915492957,0.6805537472180653,71.0,0.6109130347673352,0.39672131147540984,0.48088734647191683,61.0
4,9,0.5714285714285714,0.5570075757575758,0.6431818181818182,0.5499361147967959,0.5570075757575758,0.5435536814606582,35.0,0.616748720540848,0.5714285714285714,0.5852092211959321,35.0,0.7298162071846283,0.5958333333333334,0.655703211517165,24.0,0.3700560224089636,0.5181818181818182,0.4314041514041514,11.0
5,10,0.46483516483516485,0.23500000000000001,0.195,0.48843305404250187,0.23500000000000001,0.31720642456776443,91.0,0.9661313156884652,0.46483516483516485,0.6274412793648088,91.0,0.0,0.0,0.0,1.0,0.9768661080850037,0.47000000000000003,0.6344128491355289,90.0
6,12,0.6168831168831168,0.6067074413863405,0.5954740061162079,0.5900136575853241,0.6067074413863405,0.5851330904511565,154.0,0.67119992307571,0.6168831168831168,0.6328128257545309,154.0,0.7853681089215652,0.6311926605504586,0.6998624535249013,109.0,0.39465920624908296,0.5822222222222222,0.4704037273774116,45.0
7,13,0.5961240310077519,0.5654761904761905,0.6771164021164021,0.5061515608565696,0.5654761904761905,0.4003020291821303,129.0,0.9596688961103406,0.5961240310077519,0.7269525197431039,129.0,0.9817916929519879,0.5976190476190476,0.7428866900143709,126.0,0.030511428761151295,0.5333333333333333,0.05771736834988985,3.0
8,14,0.7308943089430894,0.6445891203703704,0.6839506172839507,0.6273978958493313,0.6445891203703704,0.6335408034158545,246.0,0.7510932315006088,0.7308943089430894,0.7394753130591283,246.0,0.8478982767929131,0.7984375,0.8223805814756033,192.0,0.4068975149057496,0.49074074074074076,0.44470102535610556,54.0
9,19,0.5785276073619632,0.5512402310567448,0.573870200475705,0.5472792639766911,0.5512402310567448,0.5461717150233767,163.0,0.6010483684946777,0.5785276073619632,0.5870219045834311,163.0,0.7066313373663602,0.6321100917431193,0.6672368222649923,109.0,0.38792719058702213,0.4703703703703703,0.42510660778176107,54.0
10,20,0.6802721088435374,0.5004317434210527,0.4356496710526315,0.500075440810962,0.5004317434210527,0.4869560939962644,147.0,0.7750584438241785,0.6802721088435374,0.7204252513171149,147.0,0.8709240779021808,0.74296875,0.8018181685482372,128.0,0.12922680371974338,0.2578947368421053,0.17209401944429165,19.0
11,21,0.6658227848101266,0.5587301587301587,0.5416666666666666,0.5219020894086763,0.5587301587301587,0.4875986234937746,79.0,0.853828151825849,0.6658227848101266,0.7361237173110861,79.0,0.9253199191157016,0.6888888888888889,0.7896521990563532,72.0,0.11848425970165102,0.42857142857142855,0.18554504793119592,7.0
12,22,0.46845637583892613,0.5114021164021164,0.5349470899470898,0.5039222415305009,0.5114021164021164,0.38804133998345375,149.0,0.8339826785463217,0.46845637583892613,0.5681579466436344,149.0,0.09748418272589518,0.5642857142857143,0.16624485740190892,14.0,0.9103603003351066,0.45851851851851855,0.6098378225649985,135.0
13,23,0.6695652173913043,0.6395061728395062,0.6314814814814815,0.5641381551428465,0.6395061728395062,0.5429016200820476,92.0,0.8395211678932238,0.6695652173913043,0.7259101283268616,92.0,0.9260701147576282,0.6790123456790124,0.7834270880609461,81.0,0.2022061955280646,0.6,0.30237615210314905,11.0
14,all,0.6005232704720893,0.5430977613229704,0.5632014333972118,0.5459987558211153,0.5430977613229704,0.5101369070740246,126.78571428571429,0.732965484586246,0.6005232704720893,0.6429741065419693,126.78571428571429,0.6811237003142073,0.6260676889392567,0.6328134556987689,82.64285714285714,0.41087381132802353,0.46012783370668403,0.3874603584492804,44.142857142857146
15,all_std,0.08,0.1,0.13,0.05,0.1,0.09,50.19,0.14,0.08,0.08,50.19,0.29,0.19,0.24,50.25,0.28,0.09,0.16,36.7
