,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.5508474576271186,0.5475134621476085,0.6271777003484321,0.5432027649769585,0.5475134621476085,0.5361566416969518,118.0,0.5890709208779193,0.5508474576271186,0.5613408975772378,118.0,0.6935483870967742,0.5584415584415584,0.6187050359712231,77.0,0.39285714285714285,0.5365853658536586,0.4536082474226804,41.0
1,2,0.5632183908045977,0.47916666666666663,0.5671296296296295,0.4809322033898305,0.47916666666666663,0.47887767969735184,87.0,0.5844535359438925,0.5632183908045977,0.5728573292168543,87.0,0.711864406779661,0.6666666666666666,0.6885245901639344,63.0,0.25,0.2916666666666667,0.2692307692307692,24.0
2,3,0.5620915032679739,0.5658730158730159,0.6217813051146384,0.5638461538461539,0.5658730158730159,0.5593810444874274,153.0,0.5796380090497738,0.5620915032679739,0.5654795767436568,153.0,0.6533333333333333,0.5444444444444444,0.593939393939394,90.0,0.47435897435897434,0.5873015873015873,0.524822695035461,63.0
3,7,0.5984848484848485,0.5944354652505195,0.6168321403832833,0.5952935694315005,0.5944354652505195,0.5945523036800928,132.0,0.5972881188398431,0.5984848484848485,0.5975773381452895,132.0,0.6216216216216216,0.647887323943662,0.6344827586206897,71.0,0.5689655172413793,0.5409836065573771,0.5546218487394958,61.0
4,9,0.6,0.6098484848484849,0.7462121212121212,0.5947712418300654,0.6098484848484849,0.5833333333333333,35.0,0.6627450980392157,0.6,0.6142857142857143,35.0,0.7777777777777778,0.5833333333333334,0.6666666666666666,24.0,0.4117647058823529,0.6363636363636364,0.5,11.0
5,10,0.4175824175824176,0.7055555555555555,0.9611111111111111,0.5092592592592593,0.7055555555555555,0.3095204008589835,91.0,0.9892144892144892,0.4175824175824176,0.5766737199808066,91.0,0.018518518518518517,1.0,0.03636363636363636,1.0,1.0,0.4111111111111111,0.5826771653543307,90.0
6,12,0.6233766233766234,0.5904179408766564,0.6723751274209989,0.5791257805530776,0.5904179408766564,0.5789969834087481,154.0,0.6577939455727145,0.6233766233766234,0.6358029225676284,154.0,0.7684210526315789,0.6697247706422018,0.7156862745098039,109.0,0.3898305084745763,0.5111111111111111,0.4423076923076923,45.0
7,13,0.5116279069767442,0.5873015873015872,0.6375661375661376,0.5079326923076923,0.5873015873015872,0.3649292803000703,129.0,0.9624440966010734,0.5116279069767442,0.6559604267715362,129.0,0.9846153846153847,0.5079365079365079,0.6701570680628273,126.0,0.03125,0.6666666666666666,0.05970149253731343,3.0
8,14,0.5650406504065041,0.5949074074074074,0.6432291666666667,0.5650406504065041,0.5949074074074074,0.5278988431530804,246.0,0.7223874677771168,0.5650406504065041,0.6021824576599277,246.0,0.8455284552845529,0.5416666666666666,0.6603174603174603,192.0,0.2845528455284553,0.6481481481481481,0.3954802259887006,54.0
9,19,0.6748466257668712,0.635406048250085,0.6254672103295956,0.6341750841750842,0.635406048250085,0.6347609182767513,163.0,0.6763814009212782,0.6748466257668712,0.6755889536833548,163.0,0.7592592592592593,0.7522935779816514,0.7557603686635944,109.0,0.509090909090909,0.5185185185185185,0.5137614678899083,54.0
10,20,0.5238095238095238,0.4576480263157895,0.49773848684210525,0.48067542213883674,0.4576480263157895,0.41666666666666663,147.0,0.7572411328508889,0.5238095238095238,0.6020408163265306,147.0,0.8536585365853658,0.546875,0.6666666666666666,128.0,0.1076923076923077,0.3684210526315789,0.16666666666666666,19.0
11,21,0.5569620253164557,0.6279761904761905,0.6666666666666666,0.5413992297817715,0.6279761904761905,0.45624385447394294,79.0,0.8785931330332624,0.5569620253164557,0.6487932987316879,79.0,0.9512195121951219,0.5416666666666666,0.6902654867256637,72.0,0.13157894736842105,0.7142857142857143,0.2222222222222222,7.0
12,22,0.48322147651006714,0.5227513227513227,0.5473544973544974,0.5077757685352622,0.5227513227513227,0.3982166273275636,149.0,0.8378945835406628,0.48322147651006714,0.5818878193111873,149.0,0.10126582278481013,0.5714285714285714,0.17204301075268819,14.0,0.9142857142857143,0.4740740740740741,0.624390243902439,135.0
13,23,0.5543478260869565,0.6683501683501684,0.7514029180695847,0.5710227272727273,0.6683501683501684,0.48854237288135594,92.0,0.8628334980237156,0.5543478260869565,0.628129697862933,92.0,0.9545454545454546,0.5185185185185185,0.672,81.0,0.1875,0.8181818181818182,0.3050847457627119,11.0
14,all,0.5561040911440501,0.5847965244336469,0.6558603013368193,0.5481751819931947,0.5847965244336469,0.4948626393030229,126.78571428571429,0.7398556735918461,0.5561040911440501,0.6084714977760246,126.78571428571429,0.6925126802163726,0.6179202576193179,0.5886841726731606,82.64285714285714,0.40383768377001666,0.5516727912479762,0.40104110593288517,44.142857142857146
15,all_std,0.06,0.07,0.11,0.05,0.07,0.1,50.19,0.14,0.06,0.04,50.19,0.29,0.13,0.21,50.25,0.28,0.14,0.17,36.7
