,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7796610169491526,0.751346214760849,0.79125752296484,0.7575462512171374,0.751346214760849,0.7541666666666667,118.0,0.777449540375951,0.7796610169491526,0.778319209039548,118.0,0.8227848101265823,0.8441558441558441,0.8333333333333334,77.0,0.6923076923076923,0.6585365853658537,0.675,41.0
1,2,0.735632183908046,0.6884920634920635,0.7341269841269841,0.6759259259259259,0.6884920634920635,0.681013868962219,87.0,0.7464878671775224,0.735632183908046,0.7401837101535315,87.0,0.8333333333333334,0.7936507936507936,0.8130081300813008,63.0,0.5185185185185185,0.5833333333333334,0.5490196078431373,24.0
2,3,0.6470588235294118,0.6142857142857143,0.7128747795414462,0.6333333333333333,0.6142857142857143,0.6136363636363636,153.0,0.6392156862745098,0.6470588235294118,0.6336898395721925,153.0,0.6666666666666666,0.8,0.7272727272727273,90.0,0.6,0.42857142857142855,0.5,63.0
3,7,0.6893939393939394,0.6881782498268298,0.7868852459016394,0.6877880184331797,0.6881782498268298,0.6879432624113475,132.0,0.6897954196341293,0.6893939393939394,0.6895551257253385,132.0,0.7142857142857143,0.704225352112676,0.7092198581560284,71.0,0.6612903225806451,0.6721311475409836,0.6666666666666666,61.0
4,9,0.8571428571428571,0.8958333333333333,0.9696969696969696,0.84375,0.8958333333333333,0.8492678725236864,35.0,0.9017857142857143,0.8571428571428571,0.8620647225298388,35.0,1.0,0.7916666666666666,0.8837209302325582,24.0,0.6875,1.0,0.8148148148148148,11.0
5,10,0.5164835164835165,0.7555555555555555,0.6777777777777778,0.5111111111111111,0.7555555555555555,0.3599744245524297,91.0,0.9892551892551893,0.5164835164835165,0.6695146285939124,91.0,0.022222222222222223,1.0,0.043478260869565216,1.0,1.0,0.5111111111111111,0.6764705882352942,90.0
6,12,0.5584415584415584,0.6293577981651377,0.7435270132517839,0.6132024977698484,0.6293577981651377,0.5547619047619048,154.0,0.7105552787979192,0.5584415584415584,0.5715831787260358,154.0,0.847457627118644,0.45871559633027525,0.5952380952380952,109.0,0.37894736842105264,0.8,0.5142857142857142,45.0
7,13,0.8062015503875969,0.5753968253968254,0.828042328042328,0.5113095238095238,0.5753968253968254,0.4829244829244829,129.0,0.9591085271317829,0.8062015503875969,0.8727585936888262,129.0,0.9809523809523809,0.8174603174603174,0.8917748917748918,126.0,0.041666666666666664,0.3333333333333333,0.07407407407407407,3.0
8,14,0.8211382113821138,0.6325231481481481,0.8047839506172839,0.7788149350649352,0.6325231481481481,0.6576417004048583,246.0,0.8077288565093445,0.8211382113821138,0.790362397551101,246.0,0.8303571428571429,0.96875,0.8942307692307693,192.0,0.7272727272727273,0.2962962962962963,0.42105263157894735,54.0
9,19,0.6748466257668712,0.6307339449541285,0.6658171933401291,0.6319897084048027,0.6307339449541285,0.6313318823880851,163.0,0.6733428742804829,0.6748466257668712,0.6740695767779643,163.0,0.7545454545454545,0.7614678899082569,0.7579908675799086,109.0,0.5094339622641509,0.5,0.5046728971962616,54.0
10,20,0.6326530612244898,0.5425575657894737,0.5699013157894737,0.5211397058823529,0.5425575657894737,0.49374999999999997,147.0,0.79124983326664,0.6326530612244898,0.6903790087463556,147.0,0.8854166666666666,0.6640625,0.7589285714285714,128.0,0.1568627450980392,0.42105263157894735,0.22857142857142856,19.0
11,21,0.810126582278481,0.6378968253968254,0.6924603174603174,0.5763736263736263,0.6378968253968254,0.5881126173096975,79.0,0.8742940603700098,0.810126582278481,0.8369213711540239,79.0,0.9384615384615385,0.8472222222222222,0.8905109489051095,72.0,0.21428571428571427,0.42857142857142855,0.2857142857142857,7.0
12,22,0.5704697986577181,0.602910052910053,0.6026455026455027,0.5353122730573711,0.602910052910053,0.46160794941282746,149.0,0.8625477036452164,0.5704697986577181,0.6582091995416599,149.0,0.1323529411764706,0.6428571428571429,0.21951219512195122,14.0,0.9382716049382716,0.562962962962963,0.7037037037037037,135.0
13,23,0.8152173913043478,0.7772166105499438,0.888888888888889,0.6603896103896104,0.7772166105499438,0.6861328516957657,92.0,0.8861801242236025,0.8152173913043478,0.839284000383914,92.0,0.9571428571428572,0.8271604938271605,0.8874172185430463,81.0,0.36363636363636365,0.7272727272727273,0.48484848484848486,11.0
14,all,0.7081762226321501,0.6730202787546344,0.7477632707175262,0.6384276086266256,0.6730202787546344,0.6073047034035953,126.78571428571429,0.8077854768020009,0.7081762226321501,0.7362067544417316,126.78571428571429,0.7418556682539768,0.7800996299422396,0.7075454855548468,82.64285714285714,0.5349995489992744,0.5659409275670291,0.5070639212523437,44.142857142857146
15,all_std,0.11,0.09,0.11,0.1,0.09,0.13,50.19,0.11,0.11,0.09,50.19,0.3,0.14,0.26,50.25,0.28,0.19,0.2,36.7
