,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.6076271186440678,0.6235191637630663,0.6869337979094077,0.6123683508098395,0.6235191637630663,0.599775328215574,118.0,0.6599132452898887,0.6076271186440678,0.6166135286113754,118.0,0.7682099493833341,0.5714285714285714,0.6549672072907006,77.0,0.4565267522363448,0.6756097560975609,0.5445834491404474,41.0
1,2,0.4413793103448276,0.5046626984126984,0.5250992063492064,0.5041669799705985,0.5046626984126984,0.43616528797113646,87.0,0.6052366737309817,0.4413793103448276,0.4573289812815018,87.0,0.7296301429745302,0.3634920634920635,0.48337660381733605,63.0,0.2787038169666667,0.6458333333333333,0.3889539721249368,24.0
2,3,0.44575163398692813,0.5198412698412698,0.6004144620811288,0.5621485723755109,0.5198412698412698,0.3786997004811573,153.0,0.5868305278997713,0.44575163398692813,0.34270192422145757,153.0,0.702012987012987,0.1,0.17471230167619217,90.0,0.4222841577380346,0.9396825396825397,0.5826870992861224,63.0
3,7,0.65,0.6587162318171323,0.7493419533595012,0.665023767299801,0.6587162318171323,0.6482969773905778,132.0,0.6704491090867047,0.65,0.6465414246101686,132.0,0.7366382788869312,0.5436619718309859,0.625123680689176,71.0,0.5934092557126707,0.7737704918032786,0.6714702740919797,61.0
4,9,0.7771428571428572,0.8104166666666668,0.9265151515151515,0.7693874699002408,0.8104166666666668,0.7667334208699338,35.0,0.8329215440562191,0.7771428571428572,0.784800803971273,35.0,0.9404407464740281,0.7208333333333333,0.8153763753735394,24.0,0.5983341933264533,0.9,0.7180904663663283,11.0
5,10,0.5637362637362637,0.73,0.6849999999999999,0.5100607428738679,0.73,0.3798627386867434,91.0,0.9875162762073686,0.5637362637362637,0.7096040150188279,91.0,0.02187587171264814,0.9,0.04271154603258971,1.0,0.9982456140350877,0.5599999999999999,0.7170139313408972,90.0
6,12,0.4798701298701299,0.6012538226299695,0.684954128440367,0.6125219824654047,0.6012538226299695,0.4785209203892869,154.0,0.7223720902600594,0.4798701298701299,0.46919955289269355,154.0,0.8768488043462928,0.30917431192660555,0.4560913798506093,109.0,0.34819516058451666,0.8933333333333333,0.5009504609279644,45.0
7,13,0.8038759689922481,0.8670634920634921,0.9300264550264551,0.549136877081278,0.8670634920634921,0.5347969940979989,129.0,0.9771598574305557,0.8038759689922481,0.8721279731045991,129.0,0.9980390272036912,0.8007936507936508,0.8885831428122379,126.0,0.10023472695886489,0.9333333333333333,0.18101084538375972,3.0
8,14,0.8154471544715447,0.7007523148148148,0.8223042052469136,0.7304030282185995,0.7007523148148148,0.712787224366228,246.0,0.805763918915612,0.8154471544715447,0.809096202288217,246.0,0.8647420072871871,0.9052083333333334,0.8844684458793388,192.0,0.5960640491500119,0.4962962962962963,0.541106002853117,54.0
9,19,0.6061349693251534,0.5980462113489636,0.6423717295276928,0.5881306117353194,0.5980462113489636,0.5847393735371107,163.0,0.6417614885463141,0.6061349693251534,0.6164066752300071,163.0,0.7470730284660857,0.6220183486238533,0.6785897403724219,109.0,0.42918819500455313,0.5740740740740741,0.4908890067017994,54.0
10,20,0.8408163265306122,0.5052220394736842,0.5384251644736842,0.5145592705167173,0.5052220394736842,0.4958236100026035,147.0,0.7795823253313483,0.8408163265306122,0.8050680136518391,147.0,0.8719756838905776,0.9578125,0.9128779892359763,128.0,0.15714285714285714,0.05263157894736842,0.07876923076923077,19.0
11,21,0.7924050632911392,0.4992063492063492,0.6682539682539682,0.4998186152385107,0.4992063492063492,0.4957441090763579,79.0,0.8383153278148839,0.7924050632911392,0.8139294936806227,79.0,0.9112223120621028,0.8555555555555555,0.8824617303646181,72.0,0.08841491841491841,0.14285714285714285,0.10902648778809769,7.0
12,22,0.474496644295302,0.5211375661375661,0.5506613756613756,0.5072722997274351,0.5211375661375661,0.3931789274550461,149.0,0.8375895060825543,0.474496644295302,0.5733952542004964,149.0,0.10051805388518094,0.5785714285714285,0.17125964906602067,14.0,0.9140265455696894,0.4637037037037037,0.6150982058440716,135.0
13,23,0.691304347826087,0.7225589225589226,0.8322109988776656,0.600395362294911,0.7225589225589226,0.5835512990232483,92.0,0.8702320128927271,0.691304347826087,0.744686283679755,92.0,0.9550378173663263,0.6814814814814815,0.7953287074289428,81.0,0.24575290722349546,0.7636363636363637,0.3717738906175539,11.0
14,all,0.6421419848897972,0.6330283391953282,0.7030366140516083,0.5875281378934311,0.6330283391953282,0.5349054222545002,126.78571428571429,0.7725459931103564,0.6421419848897972,0.6615357233173453,126.78571428571429,0.7303046222108504,0.6364308250264903,0.60470917856355,82.64285714285714,0.4447516535760118,0.6296258533641662,0.46510166594545044,44.142857142857146
15,all_std,0.15,0.12,0.13,0.09,0.12,0.12,50.19,0.13,0.15,0.16,50.19,0.3,0.25,0.3,50.25,0.28,0.28,0.21,36.7
