,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.5932203389830508,0.579980994615141,0.5955337345581249,0.5738952297336846,0.579980994615141,0.572463768115942,118.0,0.6173767255447588,0.5932203389830508,0.6012036354704005,118.0,0.7164179104477612,0.6233766233766234,0.6666666666666666,77.0,0.4313725490196079,0.5365853658536586,0.47826086956521746,41.0
1,2,0.5517241379310345,0.5099206349206349,0.5538359788359789,0.5082417582417582,0.5099206349206349,0.49992630803242444,87.0,0.6079954528230389,0.5517241379310345,0.5720732853912027,87.0,0.7307692307692307,0.6031746031746031,0.6608695652173913,63.0,0.2857142857142857,0.4166666666666667,0.3389830508474576,24.0
2,3,0.5686274509803921,0.5476190476190476,0.5815432098765432,0.5493421052631579,0.5476190476190476,0.5475806451612903,153.0,0.5626934984520123,0.5686274509803921,0.5648007590132826,153.0,0.625,0.6666666666666666,0.6451612903225806,90.0,0.47368421052631576,0.42857142857142855,0.45,63.0
3,7,0.4696969696969697,0.4654814130685754,0.4996998383745094,0.46528906431390754,0.4654814130685754,0.4652777777777778,132.0,0.46843756815895193,0.4696969696969697,0.4689604377104377,132.0,0.5068493150684932,0.5211267605633803,0.513888888888889,71.0,0.42372881355932196,0.40983606557377056,0.41666666666666663,61.0
4,9,0.6857142857142857,0.6477272727272727,0.7638257575757577,0.6413043478260869,0.6477272727272727,0.6438482886216467,35.0,0.6937888198757765,0.6857142857142857,0.689203118805339,35.0,0.782608695652174,0.75,0.7659574468085107,24.0,0.5,0.5454545454545454,0.5217391304347826,11.0
5,10,0.4395604395604396,0.7166666666666667,0.7055555555555555,0.5096153846153846,0.7166666666666667,0.3211935059236507,91.0,0.989222316145393,0.4395604395604396,0.598421324178235,91.0,0.019230769230769232,1.0,0.03773584905660378,1.0,1.0,0.4333333333333334,0.6046511627906976,90.0
6,12,0.6038961038961039,0.6014475025484199,0.5953312945973497,0.584718620185086,0.6014475025484199,0.5761222055953714,154.0,0.6677070428380506,0.6038961038961039,0.6211960058569159,154.0,0.784409512193782,0.6073394495412844,0.684581037474713,109.0,0.38502772817638997,0.5955555555555556,0.46766337371602973,45.0
7,13,0.5581395348837209,0.7738095238095238,0.822883597883598,0.525,0.7738095238095238,0.4014652014652015,129.0,0.9779069767441861,0.5581395348837209,0.6934491864724424,129.0,1.0,0.5476190476190477,0.7076923076923077,126.0,0.05,1.0,0.09523809523809523,3.0
8,14,0.573170731707317,0.5934606481481481,0.6959538966049382,0.5641169853768279,0.5934606481481481,0.5319549893996774,246.0,0.7202941095777662,0.573170731707317,0.6098696803374071,246.0,0.84251968503937,0.5572916666666666,0.670846394984326,192.0,0.2857142857142857,0.6296296296296297,0.39306358381502887,54.0
9,19,0.5705521472392638,0.5480801902820251,0.5332738702004757,0.5438080495356037,0.5480801902820251,0.5415461266473802,163.0,0.5982867670800964,0.5705521472392638,0.5804566420755167,163.0,0.7052631578947368,0.6146788990825688,0.6568627450980392,109.0,0.38235294117647056,0.4814814814814815,0.42622950819672123,54.0
10,20,0.6598639455782312,0.5805921052631579,0.5221628289473684,0.5408163265306123,0.5805921052631579,0.5217334721499218,147.0,0.8056365403304179,0.6598639455782312,0.7123185557408803,147.0,0.8979591836734693,0.6875,0.7787610619469025,128.0,0.1836734693877551,0.47368421052631576,0.2647058823529412,19.0
11,21,0.6075949367088608,0.46230158730158727,0.5034722222222221,0.4866946778711484,0.46230158730158727,0.4311265969802555,79.0,0.8283693224125093,0.6075949367088608,0.6918184624884223,79.0,0.9019607843137255,0.6388888888888888,0.7479674796747967,72.0,0.07142857142857142,0.2857142857142857,0.1142857142857143,7.0
12,22,0.4161073825503355,0.4537037037037037,0.4323015873015873,0.4837782721542455,0.4537037037037037,0.34849474795195257,149.0,0.8113053778371693,0.4161073825503355,0.5189349310020431,149.0,0.08045977011494253,0.5,0.1386138613861386,14.0,0.8870967741935484,0.40740740740740733,0.5583756345177665,135.0
13,23,0.5760869565217391,0.6414141414141414,0.741358024691358,0.5596590909090909,0.6414141414141414,0.494291754756871,92.0,0.8471467391304348,0.5760869565217391,0.6490394337714864,92.0,0.9375,0.5555555555555556,0.6976744186046512,81.0,0.18181818181818182,0.7272727272727273,0.2909090909090909,11.0
14,all,0.5624253829965532,0.5801575308634318,0.6104808140875262,0.5383057080397566,0.5801575308634318,0.49264467061281164,126.78571428571429,0.7282976612107543,0.5624253829965532,0.6122675327367152,126.78571428571429,0.680782001028461,0.633801297223949,0.5980913581301798,82.64285714285714,0.39582941505105235,0.5265137645029148,0.38719798309544357,44.142857142857146
15,all_std,0.08,0.09,0.12,0.05,0.09,0.09,50.19,0.15,0.08,0.07,50.19,0.3,0.13,0.23,50.25,0.27,0.18,0.15,36.7
