,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.6567796610169492,0.5534209692746278,0.5423978460563826,0.5985832441887646,0.5534209692746278,0.5376350080149638,118.0,0.6236794283580188,0.6567796610169492,0.6092280642013426,118.0,0.6808429589657645,0.8922077922077921,0.7723011366258719,77.0,0.5163235294117647,0.21463414634146344,0.30296887940405576,41.0
1,2,0.5862068965517241,0.43313492063492065,0.45539021164021165,0.412568318407175,0.43313492063492065,0.41965707878263203,87.0,0.5374789303773962,0.5862068965517241,0.5590099436476246,87.0,0.6912150681868992,0.7746031746031746,0.7305211619430001,63.0,0.133921568627451,0.09166666666666666,0.1087929956222639,24.0
2,3,0.5058823529411764,0.45666666666666667,0.45612874779541446,0.44031390498605233,0.45666666666666667,0.43245961070929884,153.0,0.4616184563884567,0.5058823529411764,0.46847252578739323,153.0,0.561039696266344,0.7355555555555555,0.6365327961518338,90.0,0.3195881137057608,0.17777777777777776,0.228386425266764,63.0
3,7,0.4962121212121212,0.4882821519279612,0.4958208265989379,0.4878171890317102,0.4882821519279612,0.48580668358795104,132.0,0.49087830172831665,0.4962121212121212,0.49132594116277667,132.0,0.5282238766269161,0.5929577464788732,0.5586608835756491,71.0,0.4474105014365043,0.3836065573770492,0.41295248360025305,61.0
4,9,0.7028571428571428,0.6602272727272727,0.6660984848484848,0.6575037752102969,0.6602272727272727,0.6583169250796778,35.0,0.7061350475611345,0.7028571428571428,0.7040455513512396,35.0,0.7884341238471674,0.775,0.7814324573492673,24.0,0.5265734265734265,0.5454545454545454,0.5352013928100885,11.0
5,10,0.18021978021978022,0.5855555555555555,0.4211111111111111,0.5066156766744366,0.5855555555555555,0.1590434759953085,91.0,0.9891563884983393,0.18021978021978022,0.28904844917063954,91.0,0.013231353348873176,1.0,0.0261170427486217,1.0,1.0,0.1711111111111111,0.2919699092419953,90.0
6,12,0.5551948051948052,0.5363812436289501,0.5678695208970439,0.5305986033880995,0.5363812436289501,0.520728049813159,154.0,0.6153498898718464,0.5551948051948052,0.5741010145577005,154.0,0.7345313864896157,0.581651376146789,0.6491567462297119,109.0,0.3266658202865832,0.49111111111111105,0.3922993533966062,45.0
7,13,0.5697674418604651,0.551984126984127,0.5556878306878307,0.50480925663968,0.551984126984127,0.3879845956328095,129.0,0.9587648088815925,0.5697674418604651,0.7059724636802762,129.0,0.9809089821616859,0.5706349206349206,0.7214840669996648,126.0,0.028709531117674113,0.5333333333333333,0.054485124265954185,3.0
8,14,0.6308943089430894,0.5153067129629629,0.5517457561728395,0.5128860416992604,0.5153067129629629,0.5109907546703633,246.0,0.6671189392760161,0.6308943089430894,0.6468043769770231,246.0,0.787822946075216,0.7213541666666667,0.753093298782235,192.0,0.23794913732330497,0.30925925925925923,0.2688882105584915,54.0
9,19,0.4920245398773006,0.5272086306489976,0.5525229357798165,0.5249788160717146,0.5272086306489976,0.48920473286986094,163.0,0.5834669874242782,0.4920245398773006,0.5018609237106012,163.0,0.6983164875347663,0.42293577981651376,0.5267130802706003,109.0,0.3516411446086628,0.6314814814814815,0.4516963854691216,54.0
10,20,0.7482993197278912,0.5596628289473684,0.5343133223684211,0.5419238275213037,0.5596628289473684,0.5440138271694385,147.0,0.7982059245438855,0.7482993197278912,0.7703047529279446,147.0,0.8875519767168957,0.8140625,0.8491951674125614,128.0,0.19629567832571168,0.3052631578947368,0.23883248692631537,19.0
11,21,0.5848101265822785,0.5142857142857143,0.49295634920634923,0.5048217063268908,0.5142857142857143,0.4397403305177704,79.0,0.8424886192161507,0.5848101265822785,0.6742380903163973,79.0,0.9152168773769145,0.6,0.7247453001191786,72.0,0.09442653527686734,0.42857142857142855,0.1547353609163622,7.0
12,22,0.397986577181208,0.45970899470899473,0.4871428571428572,0.4856626237770806,0.45970899470899473,0.3395012975085206,149.0,0.8129807329875964,0.397986577181208,0.49897411452854257,149.0,0.08260148103024714,0.5357142857142857,0.14312567985576619,14.0,0.888723766523914,0.3837037037037037,0.535876915161275,135.0
13,23,0.8456521739130436,0.4802469135802469,0.4157126823793491,0.43805711610486886,0.4802469135802469,0.4581718479979971,92.0,0.7713614435759648,0.8456521739130436,0.8067808627790818,92.0,0.8761142322097377,0.9604938271604938,0.9163436959959942,81.0,0.0,0.0,0.0,11.0
14,all,0.5680562320056411,0.5230051930381691,0.5139213201917893,0.5105100071448094,0.5230051930381691,0.45594672988212503,126.78571428571429,0.7041917070492137,0.5680562320056411,0.5928690767713274,126.78571428571429,0.6590036747740745,0.7126550803560762,0.6278158938614254,82.64285714285714,0.3620163395155447,0.333355305720262,0.2840775659028247,44.142857142857146
15,all_std,0.16,0.06,0.07,0.06,0.06,0.12,50.19,0.16,0.16,0.14,50.19,0.29,0.17,0.25,50.25,0.3,0.19,0.17,36.7
