,experiment_num,selected_features,pnum
0,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
1,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
2,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
3,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
4,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
5,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
6,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
7,0,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
8,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
9,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
10,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
11,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
12,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
13,0,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
14,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
15,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
16,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
17,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
18,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
19,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
20,1,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
21,1,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
