,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.3728813559322034,0.4795692112765283,0.4910991447576814,0.46243447874199184,0.4795692112765283,0.3458195984417141,118.0,0.5008143885176155,0.3728813559322034,0.3052269622059802,118.0,0.5882352941176471,0.12987012987012986,0.2127659574468085,77.0,0.33663366336633666,0.8292682926829269,0.4788732394366197,41.0
1,2,0.27586206896551724,0.5,0.4460978835978836,0.13793103448275862,0.5,0.21621621621621623,87.0,0.07609988109393578,0.27586206896551724,0.11929170549860206,87.0,0.0,0.0,0.0,63.0,0.27586206896551724,1.0,0.43243243243243246,24.0
2,3,0.4130718954248366,0.47253968253968254,0.44670194003527336,0.45703516358930685,0.47253968253968254,0.3704531156196323,153.0,0.4679514304647097,0.4130718954248366,0.3421905879426926,153.0,0.5188940092165899,0.13555555555555554,0.21029879211697394,90.0,0.39517631796202385,0.8095238095238095,0.5306074391222906,63.0
3,7,0.4962121212121212,0.4965943200184714,0.4909951512352805,0.49643457198062224,0.4965943200184714,0.49490430518098505,132.0,0.4992487778572599,0.4962121212121212,0.49611515565522035,132.0,0.5335820895522387,0.4915492957746479,0.510887531440891,71.0,0.45928705440900564,0.5016393442622951,0.4789210789210789,61.0
4,9,0.7142857142857143,0.5454545454545454,0.5454545454545454,0.8529411764705884,0.5454545454545454,0.49712643678160917,35.0,0.7983193277310925,0.7142857142857143,0.6198686371100164,35.0,0.7058823529411765,1.0,0.8275862068965518,24.0,1.0,0.09090909090909091,0.16666666666666666,11.0
5,10,0.989010989010989,0.5,0.23333333333333334,0.4945054945054945,0.5,0.4972375690607735,91.0,0.9781427363844948,0.989010989010989,0.9835468399004311,91.0,0.0,0.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,90.0
6,12,0.38961038961038963,0.5427115188583078,0.46460754332313964,0.5695320278791902,0.5427115188583078,0.3768939393939394,154.0,0.6761522579644054,0.38961038961038963,0.33990062967335694,154.0,0.826086956521739,0.1743119266055046,0.2878787878787879,109.0,0.31297709923664124,0.9111111111111111,0.46590909090909094,45.0
7,13,0.47286821705426363,0.7301587301587301,0.8166666666666667,0.5211267605633803,0.7301587301587301,0.35575793184488835,129.0,0.9777268260727154,0.47286821705426363,0.6176591151313093,129.0,1.0,0.4603174603174603,0.6304347826086957,126.0,0.04225352112676056,1.0,0.08108108108108109,3.0
8,14,0.7804878048780488,0.5,0.5114776234567902,0.3902439024390244,0.5,0.4383561643835616,246.0,0.6091612135633552,0.7804878048780488,0.6842632809889743,246.0,0.7804878048780488,1.0,0.8767123287671232,192.0,0.0,0.0,0.0,54.0
9,19,0.3312883435582822,0.5,0.513846415222562,0.1656441717791411,0.5,0.24884792626728108,163.0,0.10975196657759041,0.3312883435582822,0.1648808345820022,163.0,0.0,0.0,0.0,109.0,0.3312883435582822,1.0,0.49769585253456217,54.0
10,20,0.8707482993197277,0.5,0.4150493421052632,0.4353741496598639,0.5,0.46545454545454545,147.0,0.7582026007681985,0.8707482993197277,0.8105875077303649,147.0,0.8707482993197277,1.0,0.9309090909090909,128.0,0.0,0.0,0.0,19.0
11,21,0.6455696202531646,0.48313492063492064,0.5,0.49370370370370364,0.48313492063492064,0.45138888888888895,79.0,0.8340928270042196,0.6455696202531646,0.7199367088607594,79.0,0.9074074074074074,0.6805555555555556,0.7777777777777778,72.0,0.08,0.2857142857142857,0.125,7.0
12,22,0.9060402684563759,0.5,0.5708994708994709,0.45302013422818793,0.5,0.4753521126760563,149.0,0.8209089680645016,0.9060402684563759,0.8613763115606389,149.0,0.0,0.0,0.0,14.0,0.9060402684563759,1.0,0.9507042253521126,135.0
13,23,0.7608695652173914,0.43209876543209874,0.4236812570145904,0.43209876543209874,0.43209876543209874,0.43209876543209874,92.0,0.7608695652173914,0.7608695652173914,0.7608695652173914,92.0,0.8641975308641975,0.8641975308641975,0.8641975308641975,81.0,0.0,0.0,0.0,11.0
14,all,0.6013433323699304,0.5130186924552347,0.4907078797930344,0.45443039538966806,0.5130186924552347,0.40470767968872795,126.78571428571429,0.6333887690915346,0.6013433323699304,0.5589795601469814,126.78571428571429,0.5425372674870552,0.4240255324673608,0.43781777047906417,82.64285714285714,0.3663235232922809,0.6020118524431085,0.3715975888983916,44.142857142857146
15,all_std,0.24,0.07,0.12,0.17,0.07,0.09,50.19,0.28,0.24,0.27,50.19,0.38,0.41,0.37,50.25,0.36,0.43,0.33,36.7
