,experiment_num,selected_features,pnum
0,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",1.0
1,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",2.0
2,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",3.0
3,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",7.0
4,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",9.0
5,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",10.0
6,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",12.0
7,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",13.0
8,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",14.0
9,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",19.0
10,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",20.0
11,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",21.0
12,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",22.0
13,0,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",23.0
14,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",1.0
15,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",2.0
16,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",3.0
17,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",7.0
18,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",9.0
19,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",10.0
20,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",12.0
21,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",13.0
22,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",14.0
23,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",19.0
24,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",20.0
25,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",21.0
26,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",22.0
27,1,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",23.0
28,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",1.0
29,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",2.0
30,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",3.0
31,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",7.0
32,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",9.0
33,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",10.0
34,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",12.0
35,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",13.0
36,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",14.0
37,2,"['(IF)_before_work_general_health', '(IF)_before_work_stress', '(IF)_before_work_arousal', '(IF)_before_work_valence', '(IF)_demo_gender', '(IF)_demo_education', '(IF)_demo_age_category', '(IF)_demo_career_category', '(IF)_demo_engage_motivation_0', '(IF)_demo_engage_motivation_1']",19.0
