,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.5449152542372881,0.5771777003484321,0.6259265125118784,0.5719219444581454,0.5771777003484321,0.5425143981311832,118.0,0.621912439605261,0.5449152542372881,0.5522165065970165,118.0,0.7357796785514688,0.4714285714285714,0.5743157536580812,77.0,0.4080642103648219,0.6829268292682926,0.5107130426042852,41.0
1,2,0.6137931034482759,0.5527777777777778,0.6005621693121693,0.5470069217179152,0.5527777777777778,0.5467707372347002,87.0,0.640787181852717,0.6137931034482759,0.6247804881932588,87.0,0.7562090404801654,0.6888888888888889,0.7207924893730232,63.0,0.337804802955665,0.4166666666666667,0.3727489850963769,24.0
2,3,0.561437908496732,0.5243650793650794,0.530299823633157,0.528719897492579,0.5243650793650794,0.5170101076883142,153.0,0.5421576324142687,0.561437908496732,0.5428282167520979,153.0,0.6048670620488217,0.7344444444444445,0.6633127257164213,90.0,0.4525727329363362,0.3142857142857143,0.3707074896602073,63.0
3,7,0.553030303030303,0.5486030939736781,0.5896559685984761,0.5491080069136561,0.5486030939736781,0.5483470175953942,132.0,0.5515251730319191,0.553030303030303,0.5517745115884148,132.0,0.5810145996747258,0.6070422535211268,0.5935899383032663,71.0,0.5172014141525865,0.4901639344262295,0.503104096887522,61.0
4,9,0.5399999999999999,0.5168560606060606,0.5545454545454546,0.5149091478696741,0.5168560606060606,0.5081781439920975,35.0,0.5830148585750089,0.5399999999999999,0.5545596556759348,35.0,0.6982706766917293,0.5791666666666667,0.6330514446793517,24.0,0.33154761904761904,0.4545454545454545,0.3833048433048433,11.0
5,10,0.5296703296703297,0.7622222222222221,0.6538888888888889,0.5114370459150003,0.7622222222222221,0.366261253337224,91.0,0.9892623526574725,0.5296703296703297,0.6807324718217523,91.0,0.022874091830000443,1.0,0.044723265897987266,1.0,1.0,0.5244444444444445,0.6877992407764608,90.0
6,12,0.6201298701298701,0.5502854230377167,0.5709174311926606,0.5486826910693834,0.5502854230377167,0.5491017568433272,154.0,0.6273430228856347,0.6201298701298701,0.6234257153944682,154.0,0.7379591145022383,0.718348623853211,0.7279437821070104,109.0,0.3594062676365285,0.38222222222222224,0.3702597315796438,45.0
7,13,0.7697674418604652,0.5567460317460318,0.45476190476190476,0.507510009789582,0.5567460317460318,0.4659845583645502,129.0,0.9580754828249246,0.7697674418604652,0.8499656141771746,129.0,0.9800542863876244,0.7801587301587302,0.8686963973875464,126.0,0.034965733191539644,0.3333333333333333,0.063272719341554,3.0
8,14,0.5373983739837398,0.6084780092592592,0.6414882330246913,0.5757579594291734,0.6084780092592592,0.5149586164127421,246.0,0.7386820464351587,0.5373983739837398,0.5732684522235754,246.0,0.866187853657234,0.4817708333333333,0.6189022367711841,192.0,0.2853280652011127,0.7351851851851852,0.41101499605430003,54.0
9,19,0.6079754601226994,0.5863404689092763,0.6045446822969758,0.5794869128395085,0.5863404689092763,0.5788881944792619,163.0,0.6313929359478597,0.6079754601226994,0.6160880208513364,163.0,0.7333174904151676,0.6504587155963303,0.6891349526365008,109.0,0.42565633526384944,0.5222222222222223,0.468641436322023,54.0
10,20,0.8408163265306122,0.4984991776315789,0.6295435855263157,0.4956729882344207,0.4984991776315789,0.4847122264910487,147.0,0.7735270439741644,0.8408163265306122,0.802334705963131,147.0,0.8703935955164603,0.96015625,0.9130654786231229,128.0,0.12095238095238095,0.03684210526315789,0.056358974358974356,19.0
11,21,0.8177215189873419,0.5195436507936508,0.5300595238095238,0.513624597828517,0.5195436507936508,0.5145216634593761,79.0,0.8438923752261014,0.8177215189873419,0.8301742607211858,79.0,0.9150269734348118,0.8819444444444444,0.8981609739775758,72.0,0.11222222222222222,0.15714285714285714,0.13088235294117648,7.0
12,22,0.5107382550335571,0.6275661375661377,0.6625132275132275,0.5437809847807499,0.6275661375661377,0.43507650468116077,149.0,0.8763810885682857,0.5107382550335571,0.6027399198521401,149.0,0.13421556772006538,0.7714285714285715,0.22861494385078118,14.0,0.9533464018414343,0.4837037037037037,0.6415380655115405,135.0
13,23,0.3576086956521739,0.5605499438832773,0.5125140291806959,0.5315520781558444,0.5605499438832773,0.3406749565713724,92.0,0.8315027521261416,0.3576086956521739,0.42066606582367283,92.0,0.9257729639453778,0.2938271604938271,0.44580612873153874,81.0,0.1373311923663109,0.8272727272727274,0.23554378441120613,11.0
14,all,0.6003573457988134,0.5707150555085841,0.5829443881997156,0.5370836561781535,0.5707150555085841,0.4937857239486966,126.78571428571429,0.7292468847232084,0.6003573457988134,0.6303967575453685,126.78571428571429,0.6829959282039921,0.687076011018439,0.6157221794080995,82.64285714285714,0.3911713841523148,0.45435409999872933,0.3718492684892939,44.142857142857146
15,all_std,0.13,0.07,0.06,0.03,0.07,0.07,50.19,0.15,0.13,0.12,50.19,0.28,0.19,0.24,50.25,0.29,0.21,0.19,36.7
