,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7186440677966102,0.6874881216344632,0.7377415267659171,0.6901203435905424,0.6874881216344632,0.6883087461022924,118.0,0.71799651613232,0.7186440677966102,0.7179007322239995,118.0,0.78149224247748,0.7896103896103897,0.7853047006123324,77.0,0.5987484447036049,0.5853658536585366,0.5913127915922525,41.0
1,2,0.7183908045977011,0.658531746031746,0.6945436507936508,0.6523831811604379,0.658531746031746,0.6549043208011215,87.0,0.7248661178711103,0.7183908045977011,0.7212169309467801,87.0,0.8140758861303995,0.7920634920634921,0.8028324511260523,63.0,0.49069047619047623,0.525,0.5069761904761905,24.0
2,3,0.6241830065359477,0.6072222222222222,0.6625396825396825,0.6099999799654376,0.6072222222222222,0.6076954629569838,153.0,0.621102671362289,0.6241830065359477,0.621777259223989,153.0,0.6729152312142623,0.7033333333333334,0.6874923084700134,90.0,0.547084728716613,0.5111111111111111,0.5278986174439543,63.0
3,7,0.693939393939394,0.6852459016393443,0.7904987300854306,0.697561131507699,0.6852459016393443,0.6850656771187935,132.0,0.6965754563468596,0.693939393939394,0.6890483117129028,132.0,0.6845502193846179,0.8,0.7376364537610353,71.0,0.7105720436307803,0.5704918032786885,0.6324949004765519,61.0
4,9,0.8571428571428571,0.8736742424242424,0.952651515151515,0.8345221445221445,0.8736742424242424,0.8450344582953278,35.0,0.8799705056847914,0.8571428571428571,0.8610948761383543,35.0,0.9568831168831169,0.8291666666666666,0.888274044795784,24.0,0.7121611721611721,0.9181818181818182,0.8017948717948717,11.0
5,10,0.5923076923076923,0.7938888888888889,0.6916666666666667,0.5131662995254137,0.7938888888888889,0.39569939004894406,91.0,0.9893003582313277,0.5923076923076923,0.7325200389089634,91.0,0.02633259905082755,1.0,0.05130973784375581,1.0,1.0,0.5877777777777778,0.7400890422541323,90.0
6,12,0.6181818181818182,0.6748216106014271,0.7502752293577981,0.6471560689165241,0.6748216106014271,0.610005253661675,154.0,0.7413471369889295,0.6181818181818182,0.6333650572328571,154.0,0.8738033264657495,0.5385321100917431,0.6662147810048317,109.0,0.42050881136729873,0.8111111111111111,0.5537957263185184,45.0
7,13,0.9348837209302326,0.7388888888888889,0.894047619047619,0.587285731074203,0.7388888888888889,0.6197061198132074,129.0,0.9697563501222023,0.9348837209302326,0.9497674532324615,129.0,0.9884134534903974,0.9444444444444444,0.9658680060821812,126.0,0.18615800865800866,0.5333333333333333,0.2735442335442336,3.0
8,14,0.8101626016260163,0.57890625,0.8433159722222221,0.8261197446604877,0.57890625,0.5841490573959934,246.0,0.8163903316124671,0.8101626016260163,0.7561240621658214,246.0,0.8087760083574945,0.9911458333333334,0.8907131963335129,192.0,0.843463480963481,0.16666666666666666,0.2775849184584741,54.0
9,19,0.6938650306748466,0.6444869181107713,0.6705572545022086,0.6511615133417213,0.6444869181107713,0.6471134921521405,163.0,0.6881719823329304,0.6938650306748466,0.6904325249395143,163.0,0.7608470850793049,0.7908256880733945,0.7754953529583575,109.0,0.5414759416041376,0.4981481481481481,0.5187316313459236,54.0
10,20,0.8625850340136054,0.4953125,0.5519942434210526,0.4348411466617823,0.4953125,0.4631091827880149,147.0,0.7572743778599748,0.8625850340136054,0.8065030666240259,147.0,0.8696822933235646,0.990625,0.9262183655760298,128.0,0.0,0.0,0.0,19.0
11,21,0.8291139240506329,0.5902777777777777,0.6631944444444444,0.5630271352292568,0.5902777777777777,0.5705173098311134,79.0,0.8635519549710121,0.8291139240506329,0.8446554585996381,79.0,0.9282803776846208,0.8805555555555555,0.9037005983343974,72.0,0.1977738927738928,0.3,0.23733402132782935,7.0
12,22,0.5308724832214765,0.5746560846560846,0.5945767195767196,0.5254362013981696,0.5746560846560846,0.43450095941337025,149.0,0.8549092129346407,0.5308724832214765,0.6240227597717818,149.0,0.1197215012416887,0.6285714285714286,0.20112287467449969,14.0,0.9311509015546505,0.5207407407407407,0.6678790441522408,135.0
13,23,0.8,0.7803591470258138,0.888327721661055,0.6534105855590376,0.7803591470258138,0.6754634834411906,92.0,0.8869620122952508,0.8,0.8283761265132077,92.0,0.9603638892694892,0.8061728395061728,0.876434385764413,81.0,0.34645728184858615,0.7545454545454546,0.4744925811179681,11.0
14,all,0.7345908882156307,0.6702685928501193,0.7418522125882844,0.6347279433652041,0.6702685928501193,0.605805208130012,126.78571428571429,0.8005839274818648,0.7345908882156307,0.7483431898738784,126.78571428571429,0.7318669450037866,0.8203604843749966,0.7256155183812284,82.64285714285714,0.5375889417266216,0.520176701325242,0.48599489787879574,44.142857142857146
15,all_std,0.12,0.1,0.12,0.11,0.1,0.12,50.19,0.11,0.12,0.1,50.19,0.3,0.14,0.27,50.25,0.29,0.24,0.22,36.7
