,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7135593220338983,0.6659170098194489,0.7407348748812164,0.6814027119406286,0.6659170098194489,0.6705376419843029,118.0,0.7052392942013685,0.7135593220338983,0.7067895665187949,118.0,0.7595337315730537,0.8220779220779221,0.7893633946251376,77.0,0.6032716923082034,0.5097560975609756,0.5517118893434683,41.0
1,2,0.7183908045977011,0.6624007936507936,0.661739417989418,0.6551323657534303,0.6624007936507936,0.6563015810836166,87.0,0.7281123801603806,0.7183908045977011,0.7214526324733983,87.0,0.81793393635355,0.7873015873015873,0.8016385418762064,63.0,0.4923307951533104,0.5375,0.5109646202910268,24.0
2,3,0.6516339869281046,0.6543650793650794,0.6701146384479718,0.6497786754893937,0.6543650793650794,0.648014443907011,153.0,0.6647558646066349,0.6516339869281046,0.6542359892115523,153.0,0.7346494138204271,0.638888888888889,0.683269867299412,90.0,0.5649079371583603,0.6698412698412698,0.6127590205146101,63.0
3,7,0.6863636363636363,0.6723158623874393,0.7910297852689909,0.7035162859542841,0.6723158623874393,0.667794949560687,132.0,0.7002582485221113,0.6863636363636363,0.6737420079835869,132.0,0.6605101918496028,0.8577464788732394,0.7462961207429651,71.0,0.7465223800589654,0.48688524590163934,0.5892937783784089,61.0
4,9,0.8400000000000001,0.8414772727272728,0.9464015151515153,0.815127607899347,0.8414772727272728,0.822964950328734,35.0,0.855230045317002,0.8400000000000001,0.8432213465227342,35.0,0.9230957086391868,0.8375,0.877501401620273,24.0,0.7071595071595072,0.8454545454545455,0.7684284990371947,11.0
5,10,0.43186813186813183,0.7127777777777778,0.7677777777777778,0.5095107178155045,0.7127777777777778,0.31689241486793207,91.0,0.989220015776165,0.43186813186813183,0.5903095198390057,91.0,0.019021435631008953,1.0,0.03733110529076697,1.0,1.0,0.4255555555555556,0.5964537244450974,90.0
6,12,0.612987012987013,0.6496228338430173,0.7350152905198777,0.6242086454689999,0.6496228338430173,0.5996972584114908,154.0,0.7132508220968907,0.612987012987013,0.629923331004414,154.0,0.8384663829798622,0.5614678899082569,0.6724287455882121,109.0,0.40995090795813754,0.7377777777777778,0.5269657712347695,45.0
7,13,0.8883720930232558,0.7801587301587302,0.891005291005291,0.5613294919280685,0.7801587301587302,0.5795369309543676,129.0,0.971201635329224,0.8883720930232558,0.923092488027177,129.0,0.9911953984219632,0.8936507936507937,0.9398512956892653,126.0,0.13146358543417366,0.6666666666666666,0.21922256621947023,3.0
8,14,0.833739837398374,0.669212962962963,0.8429157021604938,0.7919417458129249,0.669212962962963,0.6988989213001462,246.0,0.822171360815102,0.833739837398374,0.8119231909726177,246.0,0.8458293203820233,0.9625,0.9003769672380301,192.0,0.7380541712438264,0.3759259259259259,0.4974208753622625,54.0
9,19,0.6993865030674847,0.6523530411145091,0.681787291879035,0.6583820980334585,0.6523530411145091,0.654735899507699,163.0,0.6948400937242164,0.6993865030674847,0.6965939365515287,163.0,0.7664303398078866,0.791743119266055,0.7787879002012309,109.0,0.5503338562590306,0.512962962962963,0.530683898814167,54.0
10,20,0.8374149659863945,0.5391241776315789,0.5500205592105263,0.5704355791555418,0.5391241776315789,0.5437540321202687,147.0,0.80013689858799,0.8374149659863945,0.8151251857228863,147.0,0.8802162576561828,0.94140625,0.9097316429421474,128.0,0.26065490065490066,0.13684210526315788,0.17777642129839016,19.0
11,21,0.8531645569620252,0.5970238095238095,0.7022817460317461,0.5825784734369169,0.5970238095238095,0.5880645731894873,79.0,0.8675753195831154,0.8531645569620252,0.8599194026117255,79.0,0.9289592556761427,0.9083333333333334,0.9184727504872845,72.0,0.2361976911976912,0.2857142857142857,0.25765639589169,7.0
12,22,0.5114093959731544,0.5607142857142857,0.5980687830687831,0.5206927746407881,0.5607142857142857,0.4212853618168798,149.0,0.8507500023180325,0.5114093959731544,0.6066609028163711,149.0,0.1142586678316192,0.6214285714285714,0.19301300141254757,14.0,0.9271268814499569,0.5,0.6495577222212121,135.0
13,23,0.7771739130434783,0.7595398428731762,0.8745230078563413,0.6361096859650248,0.7595398428731762,0.6512793913154885,92.0,0.8797259466025974,0.7771739130434783,0.8106470604898666,92.0,0.9562910570886913,0.7827160493827161,0.8607340422303853,81.0,0.3159283148413583,0.7363636363636364,0.4418247404005918,11.0
14,all,0.7182474400166182,0.6726431056821343,0.7466725486606417,0.6400104899495936,0.6726431056821343,0.6085541678820079,126.78571428571429,0.8030334234029165,0.7182474400166182,0.7388311829104042,126.78571428571429,0.7311707926936571,0.8147686345793831,0.7220569126602759,82.64285714285714,0.5488501872055301,0.5305175767848856,0.49505142310374006,44.142857142857146
15,all_std,0.13,0.08,0.11,0.09,0.08,0.12,50.19,0.1,0.13,0.1,50.19,0.3,0.13,0.27,50.25,0.26,0.19,0.17,36.7
