,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7211864406779661,0.6814539119417169,0.7337503959455179,0.6914080536845393,0.6814539119417169,0.6850949735702748,118.0,0.7161929029742694,0.7211864406779661,0.7175676627044729,118.0,0.7726472819119878,0.8116883116883118,0.7915332323990352,77.0,0.610168825457091,0.551219512195122,0.5786567147415146,41.0
1,2,0.7551724137931034,0.6645833333333333,0.7377645502645503,0.6911338068184627,0.6645833333333333,0.6735150290483375,87.0,0.7439376471325472,0.7551724137931034,0.7466075229732074,87.0,0.8089269890575741,0.8666666666666666,0.8365675154961242,63.0,0.5733406245793512,0.4625,0.5104625426005509,24.0
2,3,0.6673202614379086,0.6393650793650794,0.7033509700176366,0.6559455833779814,0.6393650793650794,0.6407727763765896,153.0,0.6614655662228743,0.6673202614379086,0.6579856637702364,153.0,0.6872254861657083,0.7977777777777778,0.7383124716072541,90.0,0.6246656805902544,0.4809523809523809,0.5432330811459252,63.0
3,7,0.6795454545454545,0.6718656199492034,0.7877741861002078,0.6804809230880604,0.6718656199492034,0.6718476963830792,132.0,0.680223424314011,0.6795454545454545,0.6756370435439896,132.0,0.6770819392706076,0.7732394366197183,0.7218670789070974,71.0,0.6838799069055134,0.5704918032786885,0.6218283138590609,61.0
4,9,0.8314285714285715,0.8056818181818182,0.9054924242424243,0.8062332691463127,0.8056818181818182,0.8047494234763958,35.0,0.833339248191422,0.8314285714285715,0.8314424832494118,35.0,0.879210905036992,0.875,0.8766153536345158,24.0,0.7332556332556333,0.7363636363636364,0.732883493318276,11.0
5,10,0.4989010989010989,0.7466666666666667,0.8388888888888889,0.5107588638081869,0.7466666666666667,0.3512042024760887,91.0,0.9892474475562238,0.4989010989010989,0.6534889503004805,91.0,0.021517727616373827,1.0,0.042126538970249885,1.0,1.0,0.49333333333333335,0.6602818659819275,90.0
6,12,0.6922077922077923,0.713414882772681,0.7605504587155963,0.6777154378916653,0.713414882772681,0.6724380479302532,154.0,0.7584913851583359,0.6922077922077923,0.7058265930088864,154.0,0.8720825610020914,0.6623853211009174,0.7527792345257145,109.0,0.4833483147812393,0.7644444444444444,0.5920968613347919,45.0
7,13,0.8627906976744185,0.6857142857142857,0.737037037037037,0.5355628335798259,0.6857142857142857,0.535015668430185,129.0,0.9655587531794987,0.8627906976744185,0.907239657007635,129.0,0.9865341638916778,0.8714285714285713,0.9253969247431204,126.0,0.08459150326797385,0.5,0.14463441211724964,3.0
8,14,0.8235772357723578,0.6493923611111111,0.8385657793209876,0.7734439199462466,0.6493923611111111,0.6758272953832319,246.0,0.8095298015090432,0.8235772357723578,0.7985750545618557,246.0,0.8377709262103622,0.9598958333333334,0.8946385182668657,192.0,0.709116913682131,0.3388888888888889,0.45701607249959836,54.0
9,19,0.6588957055214724,0.6202089704383282,0.6826367652055725,0.617959728877812,0.6202089704383282,0.6188068648481664,163.0,0.6625411673309342,0.6588957055214724,0.6604797589732249,163.0,0.7500829010207009,0.7348623853211009,0.7423101692551578,109.0,0.4858365567349233,0.5055555555555555,0.4953035604411751,54.0
10,20,0.8346938775510203,0.5554893092105264,0.5605468749999999,0.5838298312006229,0.5554893092105264,0.5630511404388561,147.0,0.8066716541337133,0.8346938775510203,0.8184913825746964,147.0,0.8843596291012126,0.93203125,0.9075439440532463,128.0,0.2833000333000333,0.1789473684210526,0.21855833682446585,19.0
11,21,0.8468354430379748,0.664484126984127,0.7222222222222222,0.6072142275829722,0.664484126984127,0.6246059860876476,79.0,0.8831122654932683,0.8468354430379748,0.8621917093361636,79.0,0.9425364582739473,0.8861111111111111,0.9133640189589208,72.0,0.2718919968919969,0.4428571428571428,0.33584795321637423,7.0
12,22,0.49194630872483225,0.565978835978836,0.615026455026455,0.5226122647420864,0.565978835978836,0.4120876269914465,149.0,0.8537419473841613,0.49194630872483225,0.5879539237003069,149.0,0.11485753157126713,0.6571428571428573,0.1955249971598747,14.0,0.9303669979129058,0.47481481481481486,0.6286502568230182,135.0
13,23,0.7739130434782608,0.7655443322109989,0.8841189674523008,0.636968968793332,0.7655443322109989,0.6511037890484392,92.0,0.881905140835943,0.7739130434782608,0.8085440807910779,92.0,0.9588850806207636,0.7765432098765432,0.8580253153387642,81.0,0.31505285696590046,0.7545454545454546,0.4441822627581142,11.0
14,all,0.7241724531965881,0.6735602524184794,0.7505518553885281,0.6422334080384361,0.6735602524184794,0.6128657514634994,126.78571428571429,0.8032827393868748,0.7241724531965881,0.7451451061782605,126.78571428571429,0.7281228271965191,0.828912338004779,0.7283289509511387,82.64285714285714,0.5563439888803533,0.5182081668321797,0.49740255197586025,44.142857142857146
15,all_std,0.12,0.07,0.1,0.09,0.07,0.12,50.19,0.11,0.12,0.09,50.19,0.3,0.1,0.27,50.25,0.26,0.16,0.17,36.7
