,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7084745762711864,0.673424136838771,0.7303135888501743,0.6779183455031387,0.673424136838771,0.6749774118795776,118.0,0.7061507220362773,0.7084745762711864,0.7067245964266823,118.0,0.770457801917315,0.7883116883116884,0.7790376278950873,77.0,0.5853788890889623,0.5585365853658537,0.570917195864068,41.0
1,2,0.7298850574712643,0.6574404761904762,0.7359126984126985,0.661877725790229,0.6574404761904762,0.6586093376623511,87.0,0.7283620484077427,0.7298850574712643,0.7283923837407403,87.0,0.8101889070139133,0.819047619047619,0.8142792096833732,63.0,0.5135665445665445,0.4958333333333333,0.502939465641329,24.0
2,3,0.6562091503267974,0.6282539682539683,0.7004409171075838,0.643242690969722,0.6282539682539683,0.6291551564121244,153.0,0.6496578282020082,0.6562091503267974,0.6467910039648871,153.0,0.6795951352860108,0.7866666666666667,0.7290916258777793,90.0,0.6068902466534333,0.46984126984126984,0.5292186869464695,63.0
3,7,0.6863636363636363,0.6797044562456708,0.7874393904410067,0.686445263607808,0.6797044562456708,0.680111224034156,132.0,0.6864460730581728,0.6863636363636363,0.6834902111767207,132.0,0.6864559483526242,0.7676056338028169,0.7247138543160111,71.0,0.6864345788629918,0.5918032786885246,0.6355085937523008,61.0
4,9,0.8171428571428571,0.822348484848485,0.912689393939394,0.7919825102433797,0.822348484848485,0.8002689730867344,35.0,0.8377732929596284,0.8171428571428571,0.8217576972518692,35.0,0.9152653867871259,0.8083333333333333,0.8581232304544052,24.0,0.6686996336996337,0.8363636363636363,0.7424147157190635,11.0
5,10,0.5967032967032967,0.7961111111111111,0.8716666666666667,0.5132921943335935,0.7961111111111111,0.39774284724237674,91.0,0.9893031251501888,0.5967032967032967,0.7360932682820286,91.0,0.026584388667187125,1.0,0.05178904595464288,1.0,1.0,0.5922222222222222,0.7436966485301106,90.0
6,12,0.6954545454545454,0.7267991845056064,0.7675840978593272,0.688070065671299,0.7267991845056064,0.6789128020051531,154.0,0.7714886899385561,0.6954545454545454,0.7091325813419116,154.0,0.8887961303143864,0.6513761467889909,0.7516291460342283,109.0,0.4873440010282115,0.8022222222222222,0.6061964579760781,45.0
7,13,0.9093023255813953,0.6119047619047618,0.7310846560846561,0.5348608985853718,0.6119047619047618,0.542923423572488,129.0,0.9614865474831928,0.9093023255813953,0.9330436961721013,129.0,0.9822975547465012,0.9238095238095237,0.9520739533720824,126.0,0.08742424242424243,0.3,0.13377289377289375,3.0
8,14,0.8085365853658537,0.5678819444444445,0.8453896604938272,0.8743611758974141,0.5678819444444445,0.5656899908706972,246.0,0.8352019981488091,0.8085365853658537,0.7478649157994248,246.0,0.8045556851281616,0.996875,0.890436596178429,192.0,0.9441666666666666,0.1388888888888889,0.24094338556296516,54.0
9,19,0.6680981595092025,0.6112045531770303,0.6746517159361196,0.6190973962671174,0.6112045531770303,0.613761696617986,163.0,0.6593831583771573,0.6680981595092025,0.6625942277180897,163.0,0.7384897457932357,0.7798165137614679,0.7584835615146572,109.0,0.499705046740999,0.44259259259259254,0.46903983172131475,54.0
10,20,0.8612244897959183,0.49677220394736843,0.5532072368421053,0.4600064622369181,0.49677220394736843,0.46745129691404913,147.0,0.7640248594057893,0.8612244897959183,0.8070029712374241,147.0,0.8700129244738362,0.98828125,0.9253787843042888,128.0,0.05,0.005263157894736842,0.009523809523809523,19.0
11,21,0.860759493670886,0.6721230158730158,0.7195436507936508,0.6255940248349564,0.6721230158730158,0.6406969093307568,79.0,0.8871233387460494,0.860759493670886,0.871932390698704,79.0,0.9434527294345925,0.9013888888888889,0.9217369559164157,72.0,0.30773532023532024,0.4428571428571428,0.35965686274509806,7.0
12,22,0.5006711409395973,0.5643915343915344,0.612037037037037,0.5220023921640884,0.5643915343915344,0.4164379237214719,149.0,0.8525856704368397,0.5006711409395973,0.596298056153634,149.0,0.1149205040430971,0.6428571428571429,0.19495726477608233,14.0,0.9290842802850797,0.48592592592592593,0.6379185826668615,135.0
13,23,0.7891304347826087,0.7741863075196409,0.8819304152637486,0.6463517260600062,0.7741863075196409,0.6651427805567567,92.0,0.8848333521032252,0.7891304347826087,0.820098890429746,92.0,0.959784720288237,0.7938271604938272,0.8687993821041143,81.0,0.33291873183177534,0.7545454545454546,0.4614861790093988,11.0
14,all,0.7348539820985031,0.6630390099465632,0.7517065089805713,0.6389359194403602,0.6630390099465632,0.6022772695647628,126.78571428571429,0.8009871931752599,0.7348539820985031,0.7479440635995689,126.78571428571429,0.7279183973033018,0.8320140405544262,0.7300378741701141,82.64285714285714,0.5499534415774187,0.49406397933870033,0.47451666495941147,44.142857142857146
15,all_std,0.11,0.09,0.1,0.11,0.09,0.11,50.19,0.11,0.11,0.09,50.19,0.3,0.12,0.27,50.25,0.29,0.23,0.22,36.7
