,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7194915254237289,0.6807253721887869,0.7345106113398796,0.689282266108687,0.6807253721887869,0.6839777987645889,118.0,0.7147627354438902,0.7194915254237289,0.7162616526056895,118.0,0.7728015822629644,0.8077922077922078,0.7897970974659745,77.0,0.6057629499544096,0.5536585365853659,0.5781585000632031,41.0
1,2,0.7540229885057471,0.6805555555555556,0.7521825396825397,0.6916198486654535,0.6805555555555556,0.6849249567005021,87.0,0.7495584074865249,0.7540229885057471,0.7509858163514702,87.0,0.8208674029586127,0.8444444444444444,0.8322914897680465,63.0,0.5623722943722944,0.5166666666666666,0.5375584236329578,24.0
2,3,0.6725490196078432,0.65,0.7002557319223985,0.660683861150463,0.65,0.6520275329251288,153.0,0.6675109975005624,0.6725490196078432,0.6669240643615029,153.0,0.6993709671343595,0.7777777777777778,0.7364412110645823,90.0,0.6219967551665665,0.5222222222222223,0.5676138547856754,63.0
3,7,0.6916666666666667,0.6826714384668667,0.793950588778573,0.6958386317855081,0.6826714384668667,0.6823523476844257,132.0,0.6947496763718363,0.6916666666666667,0.6864487789403562,132.0,0.6814644203250395,0.8014084507042254,0.7364252402627087,71.0,0.7102128432459768,0.5639344262295082,0.6282794551061426,61.0
4,9,0.8142857142857143,0.7931818181818182,0.897159090909091,0.7862213293952425,0.7931818181818182,0.7883150466701412,35.0,0.8194597526696906,0.8142857142857143,0.8157462206555677,35.0,0.8757093920572181,0.85,0.8621682074001356,24.0,0.6967332667332667,0.7363636363636364,0.7144618859401468,11.0
5,10,0.5252747252747253,0.76,0.8833333333333334,0.5113492590872912,0.76,0.36407449088278576,91.0,0.9892604232766438,0.5252747252747253,0.6767365718918286,91.0,0.02269851817458241,1.0,0.04438629569376452,1.0,1.0,0.52,0.683762686071807,90.0
6,12,0.6915584415584416,0.7103465851172273,0.756585117227319,0.675417161599795,0.7103465851172273,0.6710104517935996,154.0,0.7555340871509589,0.6915584415584416,0.7051318441557954,154.0,0.8681985137072832,0.6651376146788991,0.7531150521651332,109.0,0.48263580949230667,0.7555555555555555,0.5889058514220662,45.0
7,13,0.8767441860465116,0.6603174603174603,0.7514550264550264,0.5339092864218512,0.6603174603174603,0.536094400086988,129.0,0.9640837865194124,0.8767441860465116,0.9150647610132945,129.0,0.9850679084753908,0.8873015873015874,0.9335511200828703,126.0,0.08275066436831142,0.4333333333333333,0.13863768009110586,3.0
8,14,0.8398373983739837,0.7037326388888889,0.8352237654320988,0.7852213988235393,0.7037326388888889,0.7299974536818665,246.0,0.8283049080752521,0.8398373983739837,0.826590214432837,246.0,0.8620224370548536,0.9463541666666666,0.9021845489335965,192.0,0.7084203605922247,0.4611111111111111,0.5578103584301365,54.0
9,19,0.6570552147239264,0.612759089364594,0.6745412844036697,0.6130136392289799,0.612759089364594,0.6127556210628663,163.0,0.6570011201092794,0.6570552147239264,0.656917791992017,163.0,0.7433765371105947,0.7440366972477064,0.7436362367256221,109.0,0.48265074134736496,0.4814814814814815,0.48187500540011063,54.0
10,20,0.8401360544217686,0.5362047697368422,0.5685855263157895,0.5696457736727442,0.5362047697368422,0.5406590700290911,147.0,0.7993594096036574,0.8401360544217686,0.8156692630004937,147.0,0.8794430624970033,0.94609375,0.9115443761464872,128.0,0.2598484848484849,0.12631578947368421,0.16977376391169494,19.0
11,21,0.8506329113924052,0.6794642857142856,0.7363095238095239,0.6175855726004864,0.6794642857142856,0.63610284365701,79.0,0.8873193866503689,0.8506329113924052,0.865880255291604,79.0,0.9454159004457281,0.8875,0.9153707747205935,72.0,0.2897552447552448,0.47142857142857136,0.35683491259342653,7.0
12,22,0.5006711409395973,0.5739947089947091,0.6167989417989418,0.5253060039612337,0.5739947089947091,0.4184861128136439,149.0,0.8563033459312133,0.5006711409395973,0.5959330608714493,149.0,0.11771423575026727,0.6642857142857144,0.19997706107304056,14.0,0.9328977721722003,0.4837037037037037,0.6369951645542473,135.0
13,23,0.7673913043478261,0.7775533108866443,0.8747474747474747,0.6394508351222985,0.7775533108866443,0.6509500130004201,92.0,0.8865691160456096,0.7673913043478261,0.8041936535566572,92.0,0.9642348614786502,0.7641975308641975,0.8523559405886173,81.0,0.31466680876594666,0.7909090909090909,0.44954408541222285,11.0
14,all,0.7286655208263492,0.6786790738152628,0.7554027540111186,0.642467490544541,0.6786790738152628,0.6179805814109327,126.78571428571429,0.80498408234535,0.7286655208263492,0.7498917106514688,126.78571428571429,0.7313132671023247,0.8275949958402448,0.7295174751493694,82.64285714285714,0.5536217139867571,0.5297631517902809,0.5064436876724959,44.142857142857146
15,all_std,0.12,0.07,0.1,0.09,0.07,0.12,50.19,0.1,0.12,0.09,50.19,0.3,0.1,0.27,50.25,0.26,0.16,0.18,36.7
