,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.3728813559322034,0.5194805194805194,0.5454545454545454,0.6782608695652174,0.5194805194805194,0.3003205128205128,118.0,0.776418570375829,0.3728813559322034,0.2315786614515428,118.0,1.0,0.03896103896103896,0.075,77.0,0.3565217391304348,1.0,0.5256410256410257,41.0
1,2,0.3793103448275862,0.5,0.579685746352413,0.1896551724137931,0.5,0.275,87.0,0.14387633769322233,0.3793103448275862,0.20862068965517241,87.0,0.0,0.0,0.0,54.0,0.3793103448275862,1.0,0.55,33.0
2,3,0.40522875816993464,0.4896825396825396,0.5108465608465608,0.37,0.4896825396825396,0.2971376646978646,153.0,0.36352941176470593,0.40522875816993464,0.24849667263543312,153.0,0.3333333333333333,0.011111111111111112,0.021505376344086023,90.0,0.4066666666666666,0.9682539682539681,0.5727699530516432,63.0
3,7,0.4696969696969697,0.5070422535211268,0.5975525282844608,0.732824427480916,0.5070422535211268,0.3315972222222222,132.0,0.7530650011566042,0.4696969696969697,0.30858059764309764,132.0,1.0,0.014084507042253521,0.02777777777777778,71.0,0.465648854961832,1.0,0.6354166666666666,61.0
4,9,0.3142857142857143,0.5,0.6041666666666666,0.15714285714285714,0.5,0.2391304347826087,35.0,0.09877551020408164,0.3142857142857143,0.15031055900621118,35.0,0.0,0.0,0.0,24.0,0.3142857142857143,1.0,0.4782608695652174,11.0
5,10,0.6923076923076923,0.4921875,0.5399305555555555,0.35,0.4921875,0.40909090909090906,91.0,0.4923076923076922,0.6923076923076923,0.5754245754245755,91.0,0.0,0.0,0.0,27.0,0.7,0.984375,0.8181818181818181,64.0
6,12,0.2987012987012987,0.5045871559633027,0.582466870540265,0.6470588235294118,0.5045871559633027,0.2363636363636364,154.0,0.7937356760886173,0.2987012987012987,0.14569067296340021,154.0,1.0,0.009174311926605505,0.01818181818181818,109.0,0.29411764705882354,1.0,0.4545454545454545,45.0
7,13,0.023255813953488372,0.5,0.4682539682539682,0.011627906976744186,0.5,0.022727272727272728,129.0,0.0005408328826392645,0.023255813953488372,0.0010570824524312895,129.0,0.0,0.0,0.0,126.0,0.023255813953488372,1.0,0.045454545454545456,3.0
8,14,0.23577235772357724,0.5104166666666666,0.5014467592592593,0.6115702479338843,0.5104166666666666,0.20284059569773855,246.0,0.8294698649465835,0.23577235772357724,0.11194893250642379,246.0,1.0,0.020833333333333332,0.04081632653061224,192.0,0.2231404958677686,1.0,0.36486486486486486,54.0
9,19,0.3312883435582822,0.49532789670404354,0.540859667006456,0.4145962732919255,0.49532789670404354,0.25552063691598575,163.0,0.4434134816903555,0.3312883435582822,0.1753817164289414,163.0,0.5,0.009174311926605505,0.018018018018018018,109.0,0.32919254658385094,0.9814814814814815,0.49302325581395345,54.0
10,20,0.12244897959183673,0.47368421052631576,0.49691611842105265,0.06164383561643836,0.47368421052631576,0.10909090909090909,147.0,0.015935141179759575,0.12244897959183673,0.02820037105751392,147.0,0.0,0.0,0.0,128.0,0.12328767123287672,0.9473684210526315,0.21818181818181817,19.0
11,21,0.08860759493670886,0.5,0.6527777777777778,0.04430379746835443,0.5,0.08139534883720931,79.0,0.007851305880467873,0.08860759493670886,0.014424492198999116,79.0,0.0,0.0,0.0,72.0,0.08860759493670886,1.0,0.16279069767441862,7.0
12,22,0.7986577181208053,0.4917355371900827,0.4366883116883117,0.40476190476190477,0.4917355371900827,0.44402985074626866,149.0,0.6573985298817513,0.7986577181208053,0.7211759991986377,149.0,0.0,0.0,0.0,28.0,0.8095238095238095,0.9834710743801655,0.8880597014925373,121.0
13,23,0.11956521739130435,0.5,0.5202020202020202,0.059782608695652176,0.5,0.10679611650485436,92.0,0.014295841209829869,0.11956521739130435,0.025538201772899956,92.0,0.0,0.0,0.0,81.0,0.11956521739130435,1.0,0.21359223300970873,11.0
14,all,0.33228629708552876,0.4988674485524713,0.5412320068792368,0.33808776606265,0.4988674485524713,0.23650293646414228,126.78571428571429,0.38504379980443854,0.33228629708552876,0.2104592303139486,126.78571428571429,0.34523809523809523,0.007381329592924852,0.014378522632308018,84.85714285714286,0.3309374368872046,0.9903535675120176,0.45862735029597657,41.92857142857143
15,all_std,0.22,0.01,0.06,0.26,0.01,0.12,50.19,0.33,0.22,0.21,50.19,0.46,0.01,0.02,46.32,0.22,0.02,0.24,31.75
