,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.711864406779661,0.693696547355084,0.7446943300601837,0.6861491628614915,0.693696547355084,0.6889922480620154,118.0,0.7192116193277093,0.711864406779661,0.7147234266193667,118.0,0.7945205479452054,0.7532467532467533,0.7733333333333333,77.0,0.5777777777777777,0.6341463414634146,0.6046511627906976,41.0
1,2,0.6436781609195402,0.6717171717171717,0.7615039281705949,0.6654054054054055,0.6717171717171717,0.6429233417185225,87.0,0.7005032618825723,0.6436781609195402,0.6468861425238659,87.0,0.8108108108108109,0.5555555555555556,0.6593406593406593,54.0,0.52,0.7878787878787878,0.6265060240963856,33.0
2,3,0.5490196078431373,0.5047619047619047,0.5860670194003528,0.5061784897025172,0.5047619047619047,0.49012315865732914,153.0,0.5212006999596177,0.5490196078431373,0.5207040072730372,153.0,0.591304347826087,0.7555555555555555,0.6634146341463415,90.0,0.42105263157894735,0.25396825396825395,0.31683168316831684,63.0
3,7,0.7045454545454546,0.6964904179173401,0.7829600554144539,0.7075609756097561,0.6964904179173401,0.6968733439321675,132.0,0.7066186252771619,0.7045454545454546,0.7005267299384947,132.0,0.6951219512195121,0.8028169014084507,0.7450980392156863,71.0,0.72,0.5901639344262295,0.6486486486486487,61.0
4,9,0.8571428571428571,0.8465909090909092,0.928030303030303,0.8315217391304348,0.8465909090909092,0.8381128584643849,35.0,0.8618012422360248,0.8571428571428571,0.8587286903660634,35.0,0.9130434782608695,0.875,0.8936170212765957,24.0,0.75,0.8181818181818181,0.782608695652174,11.0
5,10,0.5384615384615384,0.6397569444444444,0.7158564814814815,0.6369047619047619,0.6397569444444444,0.5384057971014493,91.0,0.7409733124018838,0.5384615384615384,0.5404682274247491,91.0,0.38095238095238093,0.888888888888889,0.5333333333333333,27.0,0.8928571428571429,0.390625,0.5434782608695652,64.0
6,12,0.7272727272727273,0.6246687054026503,0.782059123343527,0.6603724101757147,0.6246687054026503,0.6331669691470054,154.0,0.7069117611997234,0.7272727272727273,0.7103819501732388,154.0,0.7723577235772358,0.8715596330275229,0.8189655172413793,109.0,0.5483870967741935,0.37777777777777777,0.4473684210526316,45.0
7,13,0.9612403100775195,0.6547619047619048,0.7142857142857143,0.617,0.6547619047619048,0.632896983494593,129.0,0.9669302325581395,0.9612403100775195,0.9639316488200024,129.0,0.984,0.976190476190476,0.9800796812749004,126.0,0.25,0.3333333333333333,0.2857142857142857,3.0
8,14,0.7601626016260162,0.693287037037037,0.7759452160493828,0.6670974735262236,0.693287037037037,0.6766835223095944,246.0,0.7817670063634682,0.7601626016260162,0.7688444258749241,246.0,0.8715083798882681,0.8125,0.8409703504043126,192.0,0.46268656716417916,0.5740740740740741,0.512396694214876,54.0
9,19,0.6748466257668712,0.5139313625552158,0.7101597009853889,0.6708333333333334,0.5139313625552158,0.4365747081458292,163.0,0.672239263803681,0.6748466257668712,0.5602063635152378,163.0,0.675,0.9908256880733946,0.8029739776951674,109.0,0.6666666666666666,0.037037037037037035,0.07017543859649122,54.0
10,20,0.54421768707483,0.5141858552631579,0.5217927631578947,0.5064534231200898,0.5141858552631579,0.4455952716014636,147.0,0.7808737411912016,0.54421768707483,0.6189798407401238,147.0,0.8765432098765432,0.5546875,0.6794258373205742,128.0,0.13636363636363635,0.47368421052631576,0.21176470588235294,19.0
11,21,0.6075949367088608,0.5912698412698413,0.7083333333333333,0.5305851063829787,0.5912698412698413,0.4723120017237664,79.0,0.8642943711284676,0.6075949367088608,0.6921467710745448,79.0,0.9361702127659575,0.6111111111111112,0.7394957983193278,72.0,0.125,0.5714285714285714,0.20512820512820512,7.0
12,22,0.21476510067114093,0.4067296340023613,0.36304604486422665,0.3775193798449612,0.4067296340023613,0.21249491801057055,149.0,0.516383122626294,0.21476510067114093,0.1861040445814396,149.0,0.15503875968992248,0.7142857142857143,0.25477707006369427,28.0,0.6,0.09917355371900827,0.1702127659574468,121.0
13,23,0.4891304347826087,0.6705948372615039,0.8540965207631874,0.5753968253968254,0.6705948372615039,0.4483990304885827,92.0,0.8773291925465838,0.4891304347826087,0.5624469625118554,92.0,0.9722222222222221,0.43209876543209874,0.5982905982905983,81.0,0.17857142857142858,0.909090909090909,0.29850746268656714,11.0
14,all,0.6417101749766259,0.6230316480600376,0.710630752452859,0.6170698918853209,0.6230316480600376,0.5609681537755196,126.78571428571429,0.7440741037501807,0.6417101749766259,0.6460770879597817,126.78571428571429,0.7448995732167868,0.7567373244839658,0.7130797036611359,84.85714285714286,0.4892402105538552,0.48932597163610936,0.4088566038899032,41.92857142857143
15,all_std,0.18,0.11,0.14,0.11,0.11,0.16,50.19,0.13,0.18,0.18,50.19,0.24,0.17,0.18,46.32,0.24,0.26,0.22,31.75
