,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7135593220338983,0.6493823249920812,0.727557808045613,0.684624585639217,0.6493823249920812,0.6551053567342987,118.0,0.7023690769628032,0.7135593220338983,0.6982676659115089,118.0,0.7427870849776381,0.8597402597402597,0.7965818145929323,77.0,0.626462086300796,0.4390243902439025,0.513628898875665,41.0
1,2,0.7137931034482758,0.5779761904761905,0.6863756613756614,0.6148291889315606,0.5779761904761905,0.5803875361518162,87.0,0.6806030563289049,0.7137931034482758,0.6863203677630093,87.0,0.7615555085102519,0.880952380952381,0.816699237438324,63.0,0.4681028693528694,0.275,0.34407583486530857,24.0
2,3,0.6352941176470588,0.5859523809523809,0.6705114638447972,0.6270515774575618,0.5859523809523809,0.5717670183517696,153.0,0.6294995884129382,0.6352941176470588,0.6008040130397309,153.0,0.6409236395380277,0.8655555555555555,0.7363099882502164,90.0,0.613179515377096,0.3063492063492063,0.4072240484533228,63.0
3,7,0.6924242424242424,0.6795659201108288,0.7622258138997922,0.7073136054049971,0.6795659201108288,0.6763743068204274,132.0,0.7043858400086541,0.6924242424242424,0.6817989687327421,132.0,0.6686671021732702,0.8492957746478874,0.7479798440629821,71.0,0.7459601086367239,0.5098360655737706,0.6047687695778727,61.0
4,9,0.8285714285714286,0.8134469696969697,0.8909090909090909,0.8034749996380433,0.8134469696969697,0.8064099573869298,35.0,0.83596670327602,0.8285714285714286,0.8305907825691398,35.0,0.8909526632787502,0.8541666666666666,0.8715121790313411,24.0,0.7159973359973361,0.7727272727272727,0.7413077357425184,11.0
5,10,0.4010989010989011,0.6972222222222222,0.8022222222222222,0.5090403937232278,0.6972222222222222,0.3001280210972548,91.0,0.9892096789829281,0.4010989010989011,0.5589231937579253,91.0,0.018080787446455797,1.0,0.03551722657904113,1.0,1.0,0.39444444444444443,0.5647388156154685,90.0
6,12,0.711038961038961,0.6843119266055047,0.7596330275229357,0.6657537786684895,0.6843119266055047,0.6705649234645115,154.0,0.7329305619056856,0.711038961038961,0.7184278247013403,154.0,0.8273979133329927,0.7486238532110092,0.7857350295656305,109.0,0.5041096440039862,0.62,0.5553948173633926,45.0
7,13,0.8379844961240309,0.5753968253968254,0.6417989417989418,0.5139091550717481,0.5753968253968254,0.4961650720435548,129.0,0.9590362482140773,0.8379844961240309,0.8917607334768395,129.0,0.9807497649527275,0.8507936507936508,0.9110580828150484,126.0,0.047068545190768904,0.3,0.08127206127206128,3.0
8,14,0.8073170731707318,0.6442997685185186,0.7735050154320987,0.7205432223525696,0.6442997685185186,0.6638207809257913,246.0,0.7860915472442428,0.8073170731707318,0.7869885089700721,246.0,0.8373902362899,0.9348958333333334,0.8833806439612484,192.0,0.6036962084152394,0.3537037037037037,0.4442609178903344,54.0
9,19,0.6472392638036809,0.5862640163098878,0.6376826367652055,0.5930662794286253,0.5862640163098878,0.5878196806766708,163.0,0.6368215499750606,0.6472392638036809,0.6405010851762812,163.0,0.7227409903207878,0.7669724770642202,0.7439482067391529,109.0,0.4633915685364629,0.40555555555555556,0.43169115461418867,54.0
10,20,0.7959183673469388,0.5511513157894737,0.5707236842105263,0.5493046975832985,0.5511513157894737,0.5498320145463864,147.0,0.7975403244247824,0.7959183673469388,0.7965750652967704,147.0,0.8840811851585106,0.88125,0.8825955784024089,128.0,0.21452821000808617,0.22105263157894733,0.21706845069036412,19.0
11,21,0.7962025316455696,0.6238095238095238,0.696031746031746,0.5671949469387592,0.6238095238095238,0.5731021768686688,79.0,0.8707662893304013,0.7962025316455696,0.8266780438902736,79.0,0.9361508861532165,0.8333333333333334,0.8812943844795423,72.0,0.19823900772430184,0.41428571428571426,0.2649099692577953,7.0
12,22,0.4281879194630872,0.5692063492063493,0.6132804232804233,0.5249286906628845,0.5692063492063493,0.37600066986203606,149.0,0.8592235809544526,0.4281879194630872,0.5217535126338125,149.0,0.11327630509723449,0.7428571428571429,0.19651989653150145,14.0,0.9365810762285346,0.39555555555555555,0.5554814431925708,135.0
13,23,0.7652173913043478,0.737037037037037,0.8386083052749719,0.6245944804581779,0.737037037037037,0.6350705268557297,92.0,0.8723313547142822,0.7652173913043478,0.8005768999325842,92.0,0.9501915151947722,0.774074074074074,0.8525931886138813,81.0,0.29899744572158365,0.7,0.41754786509757824,11.0
14,all,0.6981319370800824,0.6410730550802709,0.7193618457581448,0.6218306858542257,0.6410730550802709,0.5816105744132748,126.78571428571429,0.7897696714810881,0.6981319370800824,0.7171404761322879,126.78571428571429,0.7124961130303239,0.845893643016394,0.7244089500759464,82.64285714285714,0.5311652586781276,0.43625246714414817,0.438812198750603,44.142857142857146
15,all_std,0.14,0.08,0.09,0.09,0.08,0.13,50.19,0.11,0.14,0.11,50.19,0.29,0.07,0.27,50.25,0.28,0.16,0.17,36.7
