,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.3644067796610169,0.5072853975292999,0.552423186569528,0.5504385964912281,0.5072853975292999,0.2951015531660693,118.0,0.6113217365447516,0.3644067796610169,0.2276694409007148,118.0,0.75,0.03896103896103896,0.07407407407407407,77.0,0.3508771929824561,0.975609756097561,0.5161290322580645,41.0
1,2,0.3563218390804598,0.5426587301587302,0.5476190476190476,0.5918803418803419,0.5426587301587302,0.3366013071895425,87.0,0.7250221043324492,0.3563218390804598,0.28532792427315756,87.0,0.888888888888889,0.12698412698412698,0.22222222222222224,63.0,0.2948717948717949,0.9583333333333334,0.45098039215686275,24.0
2,3,0.4117647058823529,0.5,0.5096119929453262,0.20588235294117646,0.5,0.2916666666666667,153.0,0.1695501730103806,0.4117647058823529,0.24019607843137253,153.0,0.0,0.0,0.0,90.0,0.4117647058823529,1.0,0.5833333333333334,63.0
3,7,0.4621212121212121,0.4976910644193026,0.5378665435234357,0.48046875,0.4976910644193026,0.3388359788359788,132.0,0.48194839015151514,0.4621212121212121,0.31720699054032386,132.0,0.5,0.028169014084507043,0.05333333333333333,71.0,0.4609375,0.9672131147540984,0.6243386243386243,61.0
4,9,0.34285714285714286,0.5208333333333334,0.47727272727272735,0.6617647058823529,0.5208333333333334,0.28444444444444444,35.0,0.7873949579831933,0.34285714285714286,0.20850793650793648,35.0,1.0,0.041666666666666664,0.08,24.0,0.3235294117647059,1.0,0.4888888888888888,11.0
5,10,0.9670329670329669,0.4888888888888888,0.75,0.4943820224719101,0.4888888888888888,0.4916201117318436,91.0,0.9778985059883937,0.9670329670329669,0.9724353858432069,91.0,0.0,0.0,0.0,1.0,0.9887640449438202,0.9777777777777776,0.9832402234636872,90.0
6,12,0.3246753246753247,0.5229357798165137,0.5546381243628951,0.651006711409396,0.5229357798165137,0.27581841200940493,154.0,0.7960428832912054,0.3246753246753247,0.1976473517439334,154.0,1.0,0.045871559633027525,0.08771929824561403,109.0,0.30201342281879195,1.0,0.4639175257731959,45.0
7,13,0.09302325581395349,0.373015873015873,0.48544973544973546,0.4630200308166409,0.373015873015873,0.08952162634976171,129.0,0.888343426380478,0.09302325581395349,0.1433591793617102,129.0,0.909090909090909,0.07936507936507936,0.145985401459854,126.0,0.01694915254237288,0.6666666666666666,0.03305785123966942,3.0
8,14,0.22764227642276422,0.5052083333333334,0.441358024691358,0.610655737704918,0.5052083333333334,0.1915173320417906,246.0,0.8290683726509396,0.22764227642276422,0.09564728733843762,246.0,1.0,0.010416666666666666,0.020618556701030927,192.0,0.22131147540983606,1.0,0.3624161073825503,54.0
9,19,0.3803680981595092,0.527353041114509,0.5667686034658512,0.5888520971302429,0.527353041114509,0.3363031646845394,163.0,0.6713457657877274,0.3803680981595092,0.27859908513398374,163.0,0.8333333333333334,0.09174311926605505,0.1652892561983471,109.0,0.3443708609271523,0.962962962962963,0.5073170731707317,54.0
10,20,0.14285714285714285,0.4629934210526316,0.47574013157894735,0.3936170212765957,0.4629934210526316,0.1361007462686567,147.0,0.5960824045930428,0.14285714285714285,0.07945095948827291,147.0,0.6666666666666666,0.03125,0.059701492537313425,128.0,0.12056737588652482,0.8947368421052632,0.2125,19.0
11,21,0.10126582278481014,0.5069444444444444,0.6418650793650794,0.5448717948717948,0.5069444444444444,0.09605157131345689,79.0,0.9193443687114573,0.10126582278481014,0.039563847040463486,79.0,1.0,0.01388888888888889,0.0273972602739726,72.0,0.08974358974358974,1.0,0.16470588235294117,7.0
12,22,0.8993288590604027,0.5283068783068783,0.5148148148148148,0.6221461187214612,0.5283068783068783,0.5321331379526899,149.0,0.8566853605467195,0.8993288590604027,0.8687292156347599,149.0,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0,0.9109589041095891,0.9851851851851852,0.9466192170818506,135.0
13,23,0.13043478260869565,0.5061728395061729,0.6408529741863075,0.5604395604395604,0.5061728395061729,0.12003825920612148,92.0,0.8948877209746776,0.13043478260869565,0.047262595388102215,92.0,1.0,0.012345679012345678,0.024390243902439025,81.0,0.12087912087912087,1.0,0.21568627450980396,11.0
14,all,0.3717214435012681,0.49930628749427935,0.5497343561317894,0.5299589887169727,0.49930628749427935,0.2725538794186405,126.78571428571429,0.7289240122104951,0.3717214435012681,0.2858288055447411,126.78571428571429,0.7058080808080808,0.042292172211212446,0.07702701412655215,82.64285714285714,0.35410989662586484,0.9563204027773464,0.46808074471072897,44.142857142857146
15,all_std,0.27,0.04,0.08,0.12,0.04,0.14,50.19,0.21,0.27,0.28,50.19,0.36,0.04,0.07,50.25,0.28,0.09,0.27,36.7
