,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.652542372881356,0.5,0.5882166613873931,0.326271186440678,0.5,0.39487179487179486,118.0,0.4258115484056305,0.652542372881356,0.5153411560191221,118.0,0.652542372881356,1.0,0.7897435897435897,77.0,0.0,0.0,0.0,41.0
1,2,0.7241379310344828,0.5,0.6517857142857143,0.3620689655172414,0.5,0.42000000000000004,87.0,0.5243757431629013,0.7241379310344828,0.6082758620689654,87.0,0.7241379310344828,1.0,0.8400000000000001,63.0,0.0,0.0,0.0,24.0
2,3,0.5882352941176471,0.5,0.5679012345679012,0.29411764705882354,0.5,0.37037037037037035,153.0,0.34602076124567477,0.5882352941176471,0.4357298474945533,153.0,0.5882352941176471,1.0,0.7407407407407407,90.0,0.0,0.0,0.0,63.0
3,7,0.5378787878787878,0.5,0.5828907873470331,0.2689393939393939,0.5,0.3497536945812808,132.0,0.2893135904499541,0.5378787878787878,0.3762501865950142,132.0,0.5378787878787878,1.0,0.6995073891625616,71.0,0.0,0.0,0.0,61.0
4,9,0.6857142857142857,0.5,0.43181818181818177,0.34285714285714286,0.5,0.4067796610169491,35.0,0.47020408163265304,0.6857142857142857,0.5578692493946732,35.0,0.6857142857142857,1.0,0.8135593220338982,24.0,0.0,0.0,0.0,11.0
5,10,0.01098901098901099,0.5,0.8222222222222222,0.005494505494505495,0.5,0.010869565217391304,91.0,0.00012075836251660427,0.01098901098901099,0.00023889154323936931,91.0,0.01098901098901099,1.0,0.021739130434782608,1.0,0.0,0.0,0.0,90.0
6,12,0.7077922077922078,0.5,0.5995718654434251,0.3538961038961039,0.5,0.4144486692015209,154.0,0.5009698094113678,0.7077922077922078,0.5866870771813738,154.0,0.7077922077922078,1.0,0.8288973384030418,109.0,0.0,0.0,0.0,45.0
7,13,0.9767441860465116,0.5,0.5449735449735449,0.4883720930232558,0.5,0.49411764705882355,129.0,0.9540292049756625,0.9767441860465116,0.9652530779753763,129.0,0.9767441860465116,1.0,0.9882352941176471,126.0,0.0,0.0,0.0,3.0
8,14,0.7804878048780488,0.5,0.6141010802469136,0.3902439024390244,0.5,0.4383561643835616,246.0,0.6091612135633552,0.7804878048780488,0.6842632809889743,246.0,0.7804878048780488,1.0,0.8767123287671232,192.0,0.0,0.0,0.0,54.0
9,19,0.6687116564417178,0.5,0.6063540604825008,0.3343558282208589,0.5,0.4007352941176471,163.0,0.4471752794610261,0.6687116564417178,0.5359527246481415,163.0,0.6687116564417178,1.0,0.8014705882352942,109.0,0.0,0.0,0.0,54.0
10,20,0.8707482993197277,0.5,0.4759457236842105,0.4353741496598639,0.5,0.46545454545454545,147.0,0.7582026007681985,0.8707482993197277,0.8105875077303649,147.0,0.8707482993197277,1.0,0.9309090909090909,128.0,0.0,0.0,0.0,19.0
11,21,0.911392405063291,0.5,0.7380952380952381,0.4556962025316455,0.5,0.47682119205298007,79.0,0.8306361160070501,0.911392405063291,0.8691424260206219,79.0,0.911392405063291,1.0,0.9536423841059601,72.0,0.0,0.0,0.0,7.0
12,22,0.09395973154362416,0.5,0.5543915343915344,0.04697986577181208,0.5,0.08588957055214724,149.0,0.008828431151749921,0.09395973154362416,0.016140321982953846,149.0,0.09395973154362416,1.0,0.17177914110429449,14.0,0.0,0.0,0.0,135.0
13,23,0.8804347826086957,0.5,0.6498316498316499,0.44021739130434784,0.5,0.46820809248554907,92.0,0.7751654064272211,0.8804347826086957,0.824453380246293,92.0,0.8804347826086957,1.0,0.9364161849710981,81.0,0.0,0.0,0.0,11.0
14,all,0.6492691968792424,0.5,0.6020071070555331,0.3246345984396212,0.5,0.3711911615260401,126.78571428571429,0.49571532464464013,0.6492691968792424,0.5561560707064048,126.78571428571429,0.6492691968792424,1.0,0.7423823230520802,82.64285714285714,0.0,0.0,0.0,44.142857142857146
15,all_std,0.28,0.0,0.1,0.14,0.0,0.14,50.19,0.28,0.28,0.29,50.19,0.28,0.0,0.29,50.25,0.0,0.0,0.0,36.7
