,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.7288135593220338,0.735191637630662,0.7773202407348748,0.7155297532656023,0.735191637630662,0.7171111777045249,118.0,0.755381171434897,0.7288135593220338,0.7346647501307882,118.0,0.8461538461538461,0.7142857142857143,0.7746478873239436,77.0,0.5849056603773585,0.7560975609756098,0.6595744680851063,41.0
1,2,0.7471264367816092,0.6706349206349207,0.7486772486772486,0.6804195804195804,0.6706349206349207,0.6749320652173914,87.0,0.7409211478176996,0.7471264367816092,0.74360476011994,87.0,0.8153846153846154,0.8412698412698413,0.828125,63.0,0.5454545454545454,0.5,0.5217391304347826,24.0
2,3,0.6470588235294118,0.6047619047619047,0.7386243386243386,0.6383970177073626,0.6047619047619047,0.5989320388349515,153.0,0.6413573817224932,0.6470588235294118,0.6234494574528842,153.0,0.6551724137931034,0.8444444444444444,0.7378640776699029,90.0,0.6216216216216216,0.36507936507936506,0.4600000000000001,63.0
3,7,0.7424242424242424,0.7444008312168091,0.8095128145924729,0.7430539609644087,0.7444008312168091,0.7421875,132.0,0.7462025536652401,0.7424242424242424,0.7427793560606061,132.0,0.7846153846153846,0.7183098591549296,0.75,71.0,0.7014925373134329,0.7704918032786885,0.734375,61.0
4,9,0.8285714285714286,0.8503787878787878,0.9431818181818181,0.8083333333333333,0.8503787878787878,0.8164335664335665,35.0,0.8609523809523807,0.8285714285714286,0.833966033966034,35.0,0.95,0.7916666666666666,0.8636363636363636,24.0,0.6666666666666666,0.909090909090909,0.7692307692307693,11.0
5,10,0.7142857142857143,0.8555555555555557,0.7666666666666667,0.5185185185185185,0.8555555555555557,0.4512987012987013,91.0,0.9894179894179894,0.7142857142857143,0.8228200371057515,91.0,0.037037037037037035,1.0,0.07142857142857142,1.0,1.0,0.7111111111111111,0.8311688311688312,90.0
6,12,0.6688311688311688,0.7269113149847095,0.7969418960244649,0.6892857142857143,0.7269113149847095,0.6598674808366896,154.0,0.7827922077922078,0.6688311688311688,0.6828145221025563,154.0,0.9142857142857143,0.5871559633027523,0.7150837988826816,109.0,0.4642857142857143,0.8666666666666668,0.6046511627906976,45.0
7,13,0.9147286821705427,0.46825396825396826,0.7751322751322751,0.487603305785124,0.46825396825396826,0.4777327935222672,129.0,0.9525273880453584,0.9147286821705427,0.9332454571132661,129.0,0.975206611570248,0.9365079365079365,0.9554655870445344,126.0,0.0,0.0,0.0,3.0
8,14,0.7886178861788617,0.5185185185185185,0.7428626543209877,0.8934426229508198,0.5185185185185185,0.47608125819134994,246.0,0.8336665333866453,0.7886178861788617,0.7030815458875428,246.0,0.7868852459016393,1.0,0.8807339449541285,192.0,1.0,0.037037037037037035,0.07142857142857142,54.0
9,19,0.6319018404907976,0.5846075433231397,0.6845056065239551,0.5846075433231397,0.5846075433231397,0.5846075433231397,163.0,0.6319018404907976,0.6319018404907976,0.6319018404907976,163.0,0.7247706422018348,0.7247706422018348,0.7247706422018348,109.0,0.4444444444444445,0.4444444444444445,0.4444444444444445,54.0
10,20,0.8639455782312926,0.49609375,0.5386513157894737,0.43493150684931503,0.49609375,0.4635036496350365,147.0,0.7574317398192154,0.8639455782312926,0.8071900292963899,147.0,0.8698630136986301,0.9921875,0.927007299270073,128.0,0.0,0.0,0.0,19.0
11,21,0.8227848101265824,0.7738095238095238,0.7420634920634921,0.6309297912713473,0.7738095238095238,0.6560945273631841,79.0,0.9080537073955759,0.8227848101265824,0.8530921342653821,79.0,0.967741935483871,0.8333333333333334,0.8955223880597016,72.0,0.29411764705882354,0.7142857142857143,0.4166666666666667,7.0
12,22,0.5503355704697986,0.5917989417989418,0.6296296296296297,0.5313289996388588,0.5917989417989418,0.44860535763601217,149.0,0.8598711525736766,0.5503355704697986,0.6409390412748898,149.0,0.1267605633802817,0.6428571428571429,0.21176470588235294,14.0,0.9358974358974359,0.5407407407407407,0.6854460093896714,135.0
13,23,0.6630434782608695,0.7300785634118967,0.8877665544332212,0.5999025341130604,0.7300785634118967,0.5688586545729403,92.0,0.8761441647597256,0.6630434782608695,0.7221827861579414,92.0,0.962962962962963,0.6419753086419753,0.7703703703703704,81.0,0.23684210526315788,0.8181818181818181,0.3673469387755102,11.0
14,all,0.7366049442624539,0.6679282686985243,0.7558240393853514,0.6397345844590132,0.6679282686985243,0.595446165326411,126.78571428571429,0.8097586685195645,0.7366049442624539,0.7482665536731979,126.78571428571429,0.7440599990335122,0.8049117394761837,0.7218871883374612,82.64285714285714,0.5354091698845144,0.5309447979208647,0.46900514231536083,44.142857142857146
15,all_std,0.1,0.13,0.1,0.13,0.13,0.12,50.19,0.11,0.1,0.09,50.19,0.3,0.14,0.26,50.25,0.33,0.32,0.28,36.7
