,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.5364406779661016,0.5917801710484637,0.626702565726956,0.5949118694499781,0.5917801710484637,0.5340278106960998,118.0,0.6508505517741892,0.5364406779661016,0.5335531917978,118.0,0.7782664392904477,0.4103896103896104,0.5324721154183397,77.0,0.4115572996095085,0.7731707317073171,0.5355835059738598,41.0
1,2,0.6436781609195402,0.560515873015873,0.5586640211640213,0.5590322580645162,0.560515873015873,0.5596734693877551,87.0,0.6482536151279199,0.6436781609195402,0.6458888106966925,87.0,0.7580645161290323,0.746031746031746,0.752,63.0,0.36,0.375,0.3673469387755102,24.0
2,3,0.6202614379084967,0.6236507936507937,0.6571428571428571,0.6198766809652885,0.6236507936507937,0.6170269838009705,153.0,0.6353679431192462,0.6202614379084967,0.6231796030341984,153.0,0.7076604998377151,0.6044444444444445,0.6518918261225954,90.0,0.5320928620928621,0.6428571428571429,0.5821621414793456,63.0
3,7,0.5954545454545455,0.5883860540290926,0.6318633110136227,0.5919311758249499,0.5883860540290926,0.5874129146177124,132.0,0.593376562701288,0.5954545454545455,0.5917121337604976,132.0,0.6110102825926119,0.6816901408450704,0.6441626073024775,71.0,0.5728520690572879,0.4950819672131147,0.5306632219329472,61.0
4,9,0.6142857142857142,0.5464015151515152,0.5464015151515152,0.5479924242424243,0.5464015151515152,0.5469039888682745,35.0,0.6097142857142857,0.6142857142857142,0.6117589893100097,35.0,0.7141666666666666,0.7291666666666667,0.7215136054421769,24.0,0.38181818181818183,0.36363636363636365,0.3722943722943723,11.0
5,10,0.8285714285714286,0.9133333333333333,0.9188888888888889,0.5311740890688259,0.9133333333333333,0.5109523809523809,91.0,0.9896961338256884,0.8285714285714286,0.8961067503924646,91.0,0.062348178137651825,1.0,0.11714285714285715,1.0,1.0,0.8266666666666668,0.9047619047619048,90.0
6,12,0.6623376623376623,0.6831804281345566,0.6514780835881753,0.6519533231861999,0.6831804281345566,0.6428189116859946,154.0,0.7350280363978994,0.6623376623376623,0.677518912844515,154.0,0.8518518518518519,0.6330275229357798,0.7263157894736842,109.0,0.45205479452054786,0.7333333333333333,0.559322033898305,45.0
7,13,0.5736434108527132,0.29365079365079366,0.29365079365079366,0.4805194805194805,0.29365079365079366,0.3645320197044335,129.0,0.9386892177589852,0.5736434108527132,0.7121090617481957,129.0,0.961038961038961,0.5873015873015873,0.729064039408867,126.0,0.0,0.0,0.0,3.0
8,14,0.7199186991869919,0.5716724537037037,0.5717303240740741,0.5786450078531786,0.5716724537037037,0.5742988124990949,246.0,0.7089810890782905,0.7199186991869919,0.7139394973801608,246.0,0.8109832396022911,0.8359375,0.823223511634908,192.0,0.34630677610406596,0.3074074074074074,0.32537411336328165,54.0
9,19,0.6214723926380368,0.5735389058783554,0.5776758409785933,0.573257958823483,0.5735389058783554,0.5733185010799347,163.0,0.6219854237551623,0.6214723926380368,0.6216601971175726,163.0,0.7176684458028237,0.7155963302752294,0.7165857093369346,109.0,0.4288474718441422,0.43148148148148147,0.4300512928229348,54.0
10,20,0.7721088435374149,0.5105879934210527,0.49784128289473684,0.510003858608583,0.5105879934210527,0.5101516537079019,147.0,0.7795455482721432,0.7721088435374149,0.7757630131732308,147.0,0.8735142107236596,0.86328125,0.8683614687666482,128.0,0.1464935064935065,0.15789473684210525,0.15194183864915572,19.0
11,21,0.860759493670886,0.4722222222222222,0.4722222222222222,0.4533333333333333,0.4722222222222222,0.4625850340136054,79.0,0.8263291139240506,0.860759493670886,0.8431929733918885,79.0,0.9066666666666666,0.9444444444444444,0.9251700680272108,72.0,0.0,0.0,0.0,7.0
12,22,0.5704697986577181,0.6669312169312169,0.6558201058201059,0.5569106598416742,0.6669312169312169,0.47696414304946255,149.0,0.8850943202000424,0.5704697986577181,0.6565502892943329,149.0,0.15278367311938604,0.7857142857142857,0.25582087205371323,14.0,0.9610376465639623,0.5481481481481482,0.6981074140452119,135.0
13,23,0.6739130434782609,0.6576879910213244,0.6790123456790123,0.5721623009758603,0.6576879910213244,0.551948051948052,92.0,0.8461066077130927,0.6739130434782609,0.7298136645962733,92.0,0.9322033898305084,0.6790123456790124,0.7857142857142857,81.0,0.2121212121212121,0.6363636363636364,0.3181818181818182,11.0
14,all,0.6638082363903938,0.5895385532280212,0.5956495827139696,0.5586931729112695,0.5895385532280212,0.5366153340008337,126.78571428571429,0.747787032097306,0.6638082363903938,0.6880533634669881,126.78571428571429,0.7027305015207339,0.7297169910519913,0.6606741968460499,82.64285714285714,0.41465584430180547,0.44936011540405124,0.4125564711556176,44.142857142857146
15,all_std,0.098,0.135,0.137,0.053,0.135,0.07,50.188,0.131,0.098,0.099,50.188,0.271,0.153,0.225,50.25,0.297,0.268,0.253,36.7
