,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.6694915254237288,0.530091859360152,0.5973867595818816,0.7083333333333333,0.530091859360152,0.4645724258289703,118.0,0.6956214689265536,0.6694915254237288,0.5656284201496731,118.0,0.6666666666666666,0.9870129870129871,0.7958115183246073,77.0,0.75,0.07317073170731707,0.13333333333333333,41.0
1,2,0.7011494252873564,0.5357142857142857,0.5459325396825397,0.5701298701298702,0.5357142857142857,0.5247899159663866,87.0,0.6463949843260188,0.7011494252873564,0.6545638945233265,87.0,0.7402597402597403,0.9047619047619048,0.8142857142857143,63.0,0.4,0.16666666666666666,0.23529411764705882,24.0
2,3,0.5882352941176471,0.5,0.6197530864197531,0.29411764705882354,0.5,0.37037037037037035,153.0,0.34602076124567477,0.5882352941176471,0.4357298474945533,153.0,0.5882352941176471,1.0,0.7407407407407407,90.0,0.0,0.0,0.0,63.0
3,7,0.5378787878787878,0.5,0.6033248672362042,0.2689393939393939,0.5,0.3497536945812808,132.0,0.2893135904499541,0.5378787878787878,0.3762501865950142,132.0,0.5378787878787878,1.0,0.6995073891625616,71.0,0.0,0.0,0.0,61.0
4,9,0.7428571428571429,0.5909090909090909,0.8068181818181819,0.8636363636363636,0.5909090909090909,0.5748987854251012,35.0,0.8129870129870129,0.7428571428571429,0.6741469057258531,35.0,0.7272727272727273,1.0,0.8421052631578947,24.0,1.0,0.18181818181818182,0.3076923076923077,11.0
5,10,0.9780219780219779,0.49444444444444446,0.5222222222222223,0.49444444444444446,0.49444444444444446,0.49444444444444446,91.0,0.9780219780219779,0.9780219780219779,0.9780219780219779,91.0,0.0,0.0,0.0,1.0,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
6,12,0.2922077922077922,0.5,0.7370642201834863,0.1461038961038961,0.5,0.2261306532663317,154.0,0.08538539382695226,0.2922077922077922,0.1321542778829211,154.0,0.0,0.0,0.0,109.0,0.2922077922077922,1.0,0.4522613065326634,45.0
7,13,0.9767441860465116,0.5,0.24814814814814815,0.4883720930232558,0.5,0.49411764705882355,129.0,0.9540292049756625,0.9767441860465116,0.9652530779753763,129.0,0.9767441860465116,1.0,0.9882352941176471,126.0,0.0,0.0,0.0,3.0
8,14,0.7804878048780488,0.5,0.6598186728395061,0.3902439024390244,0.5,0.4383561643835616,246.0,0.6091612135633552,0.7804878048780488,0.6842632809889743,246.0,0.7804878048780488,1.0,0.8767123287671232,192.0,0.0,0.0,0.0,54.0
9,19,0.6687116564417178,0.5,0.5817193340129119,0.3343558282208589,0.5,0.4007352941176471,163.0,0.4471752794610261,0.6687116564417178,0.5359527246481415,163.0,0.6687116564417178,1.0,0.8014705882352942,109.0,0.0,0.0,0.0,54.0
10,20,0.8707482993197277,0.5,0.46998355263157887,0.4353741496598639,0.5,0.46545454545454545,147.0,0.7582026007681985,0.8707482993197277,0.8105875077303649,147.0,0.8707482993197277,1.0,0.9309090909090909,128.0,0.0,0.0,0.0,19.0
11,21,0.911392405063291,0.5,0.6246031746031746,0.4556962025316455,0.5,0.47682119205298007,79.0,0.8306361160070501,0.911392405063291,0.8691424260206219,79.0,0.911392405063291,1.0,0.9536423841059601,72.0,0.0,0.0,0.0,7.0
12,22,0.9060402684563759,0.5,0.6312169312169312,0.45302013422818793,0.5,0.4753521126760563,149.0,0.8209089680645016,0.9060402684563759,0.8613763115606389,149.0,0.0,0.0,0.0,14.0,0.9060402684563759,1.0,0.9507042253521126,135.0
13,23,0.8804347826086957,0.5,0.7586980920314254,0.44021739130434784,0.5,0.46820809248554907,92.0,0.7751654064272211,0.8804347826086957,0.824453380246293,92.0,0.8804347826086957,1.0,0.9364161849710981,81.0,0.0,0.0,0.0,11.0
14,all,0.7503143820434859,0.5107971200305695,0.6004778416162818,0.45307033214666487,0.5107971200305695,0.4445718098651463,126.78571428571429,0.6463588556465114,0.7503143820434859,0.6691088728259807,126.78571428571429,0.5963451678966829,0.7779839208410637,0.6699883211984093,82.64285714285714,0.3097954963966469,0.2436103192200753,0.2191552985318832,44.142857142857146
15,all_std,0.193,0.026,0.137,0.18,0.026,0.086,50.188,0.263,0.193,0.242,50.188,0.346,0.422,0.372,50.25,0.417,0.413,0.349,36.7
