,pid,accuracy,balanced_accuracy,auc,macro_precision,macro_recall,macro_f1-score,macro_support,weighted_precision,weighted_recall,weighted_f1-score,weighted_support,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support
0,1,0.5932203389830508,0.5514729173265759,0.6537852391510928,0.5514729173265759,0.5514729173265759,0.5514729173265759,118.0,0.5932203389830508,0.5932203389830508,0.5932203389830508,118.0,0.6883116883116883,0.6883116883116883,0.6883116883116883,77.0,0.41463414634146345,0.41463414634146345,0.41463414634146345,41.0
1,2,0.7126436781609196,0.6468253968253967,0.636904761904762,0.6432258064516129,0.6468253968253967,0.6448979591836734,87.0,0.7163959955506118,0.7126436781609196,0.7144264602392681,87.0,0.8064516129032258,0.7936507936507936,0.8,63.0,0.48,0.5,0.4897959183673469,24.0
2,3,0.6339869281045751,0.5888888888888889,0.6589065255731923,0.6220338983050847,0.5888888888888889,0.5796703296703296,153.0,0.6259222333000997,0.6339869281045751,0.6063348416289592,153.0,0.6440677966101694,0.8444444444444444,0.7307692307692307,90.0,0.6,0.3333333333333333,0.42857142857142855,63.0
3,7,0.6742424242424242,0.6752482105749249,0.7390902793812053,0.6742424242424243,0.6752482105749249,0.6737743548479798,132.0,0.6771120293847567,0.6742424242424242,0.6747104936368687,132.0,0.7121212121212122,0.6619718309859155,0.6861313868613139,71.0,0.6363636363636364,0.6885245901639344,0.6614173228346457,61.0
4,9,0.6857142857142857,0.6231060606060606,0.7727272727272728,0.63,0.6231060606060606,0.6258503401360545,35.0,0.6782857142857144,0.6857142857142857,0.6814382896015548,35.0,0.76,0.7916666666666666,0.7755102040816326,24.0,0.5,0.4545454545454545,0.47619047619047616,11.0
5,10,0.7692307692307693,0.8833333333333332,1.0,0.5227272727272727,0.8833333333333332,0.4774405250205086,91.0,0.9895104895104895,0.7692307692307693,0.8593424622957025,91.0,0.045454545454545456,1.0,0.08695652173913043,1.0,1.0,0.7666666666666667,0.8679245283018868,90.0
6,12,0.6168831168831169,0.6380224260958206,0.6958205912334353,0.6142037786774629,0.6380224260958206,0.5984443364122508,154.0,0.6999426012583907,0.6168831168831169,0.6342043955072637,154.0,0.8205128205128205,0.5871559633027523,0.6844919786096256,109.0,0.4078947368421052,0.6888888888888889,0.512396694214876,45.0
7,13,0.627906976744186,0.32142857142857145,0.373015873015873,0.4821428571428571,0.32142857142857145,0.38571428571428573,129.0,0.9418604651162792,0.627906976744186,0.7534883720930233,129.0,0.9642857142857142,0.6428571428571429,0.7714285714285715,126.0,0.0,0.0,0.0,3.0
8,14,0.8252032520325203,0.6950231481481481,0.7524112654320988,0.7504645113340767,0.6950231481481481,0.7149324925216266,246.0,0.8118570483363696,0.8252032520325203,0.8143923932569426,246.0,0.8599033816425121,0.9270833333333334,0.8922305764411027,192.0,0.6410256410256411,0.46296296296296297,0.5376344086021505,54.0
9,19,0.5705521472392638,0.5948012232415902,0.6075433231396534,0.5845454545454546,0.5948012232415902,0.5633037354562156,163.0,0.6437479085331846,0.5705521472392638,0.5822876710784848,163.0,0.76,0.5229357798165137,0.6195652173913043,109.0,0.40909090909090906,0.6666666666666666,0.5070422535211268,54.0
10,20,0.8503401360544217,0.5106907894736842,0.4782072368421052,0.5366197183098591,0.5106907894736842,0.5009259259259259,147.0,0.7862220944715914,0.8503401360544217,0.8105694129503653,147.0,0.8732394366197183,0.96875,0.9185185185185185,128.0,0.2,0.05263157894736842,0.08333333333333333,19.0
11,21,0.8734177215189873,0.4791666666666667,0.498015873015873,0.45394736842105265,0.4791666666666667,0.46621621621621623,79.0,0.8274483677548302,0.8734177215189873,0.8498118371536092,79.0,0.9078947368421053,0.9583333333333334,0.9324324324324325,72.0,0.0,0.0,0.0,7.0
12,22,0.6174496644295302,0.6288359788359789,0.683068783068783,0.5453614008941878,0.6288359788359789,0.4921973094170403,149.0,0.8684236189599817,0.6174496644295302,0.6970018358563819,149.0,0.14754098360655737,0.6428571428571429,0.24,14.0,0.9431818181818181,0.6148148148148148,0.7443946188340808,135.0
13,23,0.75,0.8187429854096522,0.9135802469135804,0.6479166666666667,0.8187429854096522,0.6509978558469405,92.0,0.903125,0.75,0.7924294903513113,92.0,0.9833333333333332,0.7283950617283951,0.8368794326241135,81.0,0.3125,0.909090909090909,0.4651162790697675,11.0
14,all,0.7000565313812894,0.6182561854896637,0.6759340908142092,0.589921719646042,0.6182561854896637,0.5661313274068301,126.78571428571429,0.7687909932460963,0.7000565313812894,0.7188327353309133,126.78571428571429,0.7123655187316859,0.768458084377723,0.6902304113720474,82.64285714285714,0.46747792056039816,0.46805428660160453,0.442032243441613,44.142857142857146
15,all_std,0.099,0.138,0.164,0.08,0.138,0.093,50.188,0.125,0.099,0.096,50.188,0.28,0.153,0.244,50.25,0.295,0.288,0.258,36.7
